question_id,topic,question,option1,option2,option3,option4
question1,Streets,What is your preferred model for outdoor dining?,Bring back year-round outdoor dining as it existed during the pandemic,Maintain the current permit program approved by the City Council,Consult with restaurant owners and propose a new permit program tailored to their needs,
question2,Streets,Which best describes your approach to bike lanes?,Continue to expand the bike lane network and provide more protected lanes,Keep the bike lane network as is,Remove bike lanes where they are not heavily used,
question3,Streets,Do you support trash containerization?,Requiring property owners to use standard containers is overreach and should be rolled back,Only small properties should use standardized containers,"Following the test pilot, roll out standardized containerization for larger buildings but reverse the requirement for small properties",Promote containerization for all residential buildings
question4,Public Safety,Which statement best reflects your preferred approach to policing?,Increase the size of the police force and ramp up enforcement of quality-of-life violations as well as more serious crimes,Maintain roughly the current size of the police force and focus enforcement on serious crimes,Scale back the police force and focus on improving New Yorkers’ economic prosperity and access to public goods,
question5,Public Safety,How should the NYPD enforce transit fares?,Consistent summonses for violators — maintain or expand fare enforcement,Fewer summonses for violators — enforcement is too aggressive,Do not issue summonses for fare nonpayment,
question5a,Public Safety,The number of people incarcerated at Rikers Island is approaching double the capacity of planned new jails. What should the next mayor do?,"Stay on course with the Rikers Island shutdown, work with DAs to release more people pretrial or divert them from prosecution entirely","Stay on course with the Rikers Island shutdown, work with the City Council to keep a Rikers facility open to maintain continued capacity","Pause planning for jails still in the design phase, work with the City Council to reinvest in Rikers facilities",
question6,Housing,What is your preferred path to creating more affordable housing?,"Push to expand development rights in every community district, with existing affordable housing set-asides",Provide subsidies to renovate existing apartments and office space,Lower taxes and other development costs,Promote policies that give renters more control over their housing and curb real estate speculation
question7,Housing,How should the next mayor manage decaying public housing?,Public housing is public. Stop bringing in private management to take over,Consider private management for existing public housing,Pursue new development on NYCHA property with private landlords,
question8,Housing,What should the Rent Guidelines Board do next year?,"Freeze rents, period",Freeze rents if economic analysis determines it's feasible,"The Rent Guidelines Board should set rent increases, in line with landlords' actual costs",
question9,Schools,What’s the best way to admit students to specialized high schools?,Maintain the SHSAT as the exclusive test for all of the eight schools where it’s currently used for admission,"Maintain the SHSAT only for the three schools where it’s required by state law (Bronx Science, Brooklyn Tech, Stuyvesant)",Demand state lawmakers remove the SHSAT as the sole path to admissions to the three schools,
question10,Schools,Just 28% of fourth graders are proficient in reading. What should the next mayor do to improve learning?,"Stay on the current course, since scores are gradually improving",Only promote children to the next grade once they can pass the reading test,Reduce standardized testing in city public schools,
question12,Federal Government,What is your position on NYC’s sanctuary city laws?,"Laws should remain as they are: City authorities should only cooperate with federal agents on immigration enforcement where a person has previously been convicted of a qualifying crime, regardless of new charges","Change the laws: City authorities should help federal agents with enforcement for people charged with violent felonies, in addition to those already convicted",Change the laws: City authorities should cooperate with ICE as demanded regardless of a person's history with the justice system,Change the laws: City authorities should further restrict cooperation with federal authorities
question13,Federal Government,How should the next mayor deal with President Trump?,Seek partnership and focus on benefits,Resistance is the priority,Neutrality: focus on the city and let the governor and congressional delegation deal with the White House,
question14,Health,What is your spending priority for $500 million in opioid settlement funds?,Supportive housing services for people with substance use disorders,Safe injection facilities and needle exchanges to limit fatalities among users,Law enforcement efforts to crack down on drug dealers,
question15,Health,Do you support involuntary hospitalization for people with volatile episodes of mental illness?,I support the law’s premise: It needs to be easier to hospitalize people when warranted.,I oppose the law’s premise: People’s rights to make their own mental health care decisions should not be compromised,I support the bill's premise but it does not go far enough,
question17,Leadership,What kind of manager should the next mayor be?,The Decider — centralize decision-making with the mayor and close advisers,The Partner — make decisions in coordination with the City Council,The Delegator — hire top talent to run agencies and rely on their judgment,
question18,Leadership,"A generation from now, what’s the one legacy you’d like New Yorkers to recall from the next mayor?",They expanded opportunities for poor and working-class New Yorkers,They created lasting public works,They imposed fiscal discipline and cleaned up government,They curbed disorder and improved neighborhood quality of life
question19,Leadership,What kind of early-career experience is most important for the next mayor to have?,Led a nonprofit,Served as a community or labor organizer,Worked in the private sector,Career-long work in government or politics
