corpus_segment_id,text_sha256,text,source_urls,locators,gold_topic_code,reviewed_by
f612660d5b104c33a925f465,e0c8be31516b2027ea923dd752c860857213f3f290c6d9d8732e0972ba47f46b,"As State Representative, I will be a consistent vote in support of added revenue for our system of public transportation, including the MBTA, the Green Line Extension, and the Somerville Community Path. It has been 26 years since the state was ordered to build the Green Line Extension, but the legislature has failed to enact measures that would have made the project a success.",https://www.thesomervilletimes.com/archives/70059,paragraph 35 sentences 1-2,,
4168e38b48f690140a9bc744,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",http://www.kareemforpa.com/issues,paragraph 52 -> paragraph 54 sentences 1-2,,
b6b6c90999d97ef0244b02ac,dcb9a818080fdb251beeb3e05462aa85f1e78cc546919f6feb2d70b40f3e626b,"Right now in Virginia, someone can work full-time and makes less than $15,000 a year. Compare that to the amount needed for a married couple with one child to live in Fairfax County—which is $58,394, according to MIT’s living wage calculator .",https://yasmineforvirginia.com/issues/jobs/embed,paragraph 39,,
8e6b65eea3fa05a036019279,313bf77e8ff0458a80be89d9b1ddfbd188c24f5f4c5ede691b290e32fbb234f4,Solutions: End poverty pay for Montana's teachers. Establish a statewide salary schedule for teachers. Eliminate the tax credit for private school donations. Keep college tuition frozen.,https://www.dannyforhd95.com/,paragraph 38 -> paragraph 39,,
761d31e51b773bff3c680247,cbdcac8547fe13a98c95b450254186dba010b6d47be24f36daeab7e300592adb,"The attendant economic crisis has caused widespread job loss and threatens an historic displacement of Americans from their homes in the middle of winter. Local governments are constrained in the ways they can respond to these crises, but I am committed to continuing to work with our partners in county, state, and federal governments to ensure that Brighton not only weathers these crises, but more importantly, paves the way to a brighter future for our entire community.",http://www.wiltfortownboard.com/,paragraph 15 sentences 4-5,,
940ba1271732df7070689ab6,b66cf07a89cc67a7d1449d035dad763db2405ebd001f17903b8056d9f2e598e5,LGBTQ+ Rights Phara for Assembly WordPress Embed HTML Embed Copy and paste this URL into your WordPress site to embed,https://pharaforassembly.com/platform/lgbtq/embed,paragraph 20 -> paragraph 24,,
fd6388ea3fa9202b0afc1338,0bf34e80e8b35bc6c104f3a16704da093665252f982b7a9924b2738fe8377813,"The solution is not only to protect the city’s assets and operations from privatization, but to grow municipal facilities: social housing, child care centers, libraries, and collaboratively controlled housing, workplaces, and consumer groups. Together we can work towards neighborhood-driven change, equitable development, and investment in working families.",https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross,paragraph 222,,
ec74a56e57fbb67a447f90f1,ca7378078d9749fb06d7838b9aa03982962ec6d78955e63c284adc596b04cd71,"1 / 2 Contact Us Skip past photo slidehow Office of AM Marcela Mitaynes - Fall Constituent Services Office Hours. 4907 4th Ave #1a, Brooklyn, NY 11220. To schedule an appointment, please call (718) 492-6334 or email ad51@nyassembly.gov . Starting September 4th, 2023.",https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,paragraph 53 -> paragraph 56,,
d5c3d643f3c3ff01d5c618d6,831f9d00d243ac960373bb248abc70a2ae735787e36802b9da48f05a6de3fcca,Click here to read the full article meg anand Previous Previous Hotgirls4nj is proud to endorse Meg anandarangam Next Next,https://www.megforqueencity.com/press/candidatestatement,paragraph 31 -> paragraph 37,,
54e31a18b99affea1d958163,af34e96da4879f587025381d9736a6f24d5f76b0a535ba0c8767eb7ac1f39ef5,10 captures 12 Aug 2014 - 06 Apr 2017 Mar APR May 16 2015 2016 2017 success fail About this capture,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,paragraph 1 -> paragraph 12,,
fa8214e00523965174883559,17f3a1912b7ced579b46f013f2cb8b6edb9ae0a4ed5fdb2a4032ed418110983b,"My first priority would be to build productive relationships with other members and staff that can work for Hawaii over time. Sen. Inouye’s relationships within the Democratic caucus and across the aisle, most notably with Sen. Stevens, proved valuable assets for Hawaii regardless of which party held power. In the Legislature, I’ve shown the ability to build those relationships and produce for my district across partisan divides.",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-beth-fukutomo/,paragraph 107,,
82cf1e074d9086dd8f24f915,48083ad14be9eb9a101b64e8ea60709012370b183cbf2fc479aa4b5539782d99,"STOPPING FOREIGN INTERFERENCE by fortifying our voting systems, ensuring social networks know who is posting political content, and aggressively punishing any attempt to hack into our voting systems or to infiltrate our democracy in any way. Something our treasonous president refuses to do.",https://web.archive.org/web/20190921214849id_/https://www.gleib2020.com/issues,paragraph 16,,
f3c2d57a454e5daf6b2c2345,f495e773a51b2938088a33f57afc8c86dc9faf3fa7449acb503b2e59eadd5b3a,"It would be fitting to have bike share stations on Ocean Parkway — one of the first paved bike paths in the U.S. And if done in coordination with Flatbush, it would provide quicker access for Kensington residents to/from the Q train.",https://www.justin2021.org/climate-policy,paragraph 134 sentence 3,,
ecaa99581605626a844fc82c,12d9cdf78027c1bfaeed6f042f984fd2e67104bb6333a4db15c39b3a1271db9d,"The high cost of housing across the district prevents businesses from recruiting workers and pinches working families. A huge part of the problem stems from decades of the federal government having completely abandoned its responsibilities on public and affordable housing. In her first term, Val secured $4 million in funding for workers housing in North Bend. As our member of Congress, Val will continue to:",https://www.valhoyle.com/priorities,paragraph 36 sentences 3-6,,
d801c4e13c034818207cf4a7,956c51a9cab8b0ff82eddbbc8ed73d2ad73163d8fce55961b44095fde675f464,The county can and should publish information on operations that's presented as position-based budgeting. This is something that my team is actively working on right now and will roll out in the near future.,https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-controller-leuba-oconnor,paragraph 228,,
b96fcef3228df95ae2437889,28494d3800d17d1af59563f1082ad468bcf981f5a3d7de01e216d43193ecf50e,41 captures 22 Nov 2023 - 19 May 2024 Oct NOV Dec 22 2022 2023 2024 success fail About this capture,https://web.archive.org/web/20231122100438/https://www.dean24.com/platform,paragraph 1 -> paragraph 12,,
54f7975845325049f2702ce4,dd0716276b4ba194d6bdd4155cdcb5321d0bfc15f353afbcd8b52d5f95509bd5,"Consistently enforce involuntary commitment laws. Codify in statute the existing standard that permits involuntarily committing individuals who are a danger to themselves because they cannot meet their basic needs. Ensure that judges, prosecutors, and defense lawyers consistently seek Article 730 mental health competency exams for defendants whose offenses are related to their serious mental illness.",https://www.andrewcuomo.com/issues,paragraph 59,,
1361c0d43f330dc6b7b06bfc,131ec5a573b15e125d5acf6e29c3a71fa0ae7183ac90e078633054af9365ad23,"Recipients can pay back the loans over time with the energy savings, helping Wisconsin get cleaner energy and air while saving taxpayer dollars now and into the future. In addition, we can make real upgrades to our grid's reliability and efficiency, so that we are able to move clean, renewable energy around with minimal loss and friction.",https://www.keldaroys.com/issues/data-centers,paragraph 21 sentences 3-4,,
a278c365f37e03ff2bd1c485,07dc035dd470b040b132214f94f0489360552fd27a3cbba52bccfb57ba09a939,"Home » Blog Greater Somerville Election Special Posted by Chris Addis 123pt on July 20, 2016 Thank you to Somerville Community Access Television and Joe Lynch for producing this interview series featuring both Democratic candidates for State Representative in the 26th Middlesex District of Cambridge and Somerville. The election will be decided in the primary on Thursday, September 8.",http://web.archive.org/web/20160828215944/http://www.mikeconnolly.org:80/mike_connolly_scatv,paragraph 27 -> paragraph 31,,
71369e3fbc3cafff21683bc1,4b9c731bb5649285319982446f69b4052a8bbd4c0d1e5761ab323cc8b544c816,"Delivered nearly $9.5M for criminal justice reform initiatives , including efforts to prevent trafficking of black girls and and programs to reduce recidivism.",http://www.summerforpa.com:80/issues,paragraph 165,,
f0d1d4bde8c914c76a381fc9,723be72819c244c49800a538cb93b9cb86079c89ba5fa13383a6a3f60824b9cd,TIMESTAMPS The Wayback Machine - https://web.archive.org/web/20190513201952/https://yasmineforvirginia.com/issues/gun-safety/ Skip to content Menu,https://yasmineforvirginia.com/issues/gun-safety,paragraph 22 -> paragraph 25,,
789f8aa9abf6ac1bc8a2bf25,ea8b574399d5c53b273ad1f7048bf125516a8411b0d97a828c7c648cbcd6d293,"Fight the upzonings which hold our communities hostage to the forces of gentrification Expand the rent stabilization system to cover all New York apartments, so that no tenant is faced with the prospect of suddenly being evicted from their homes",https://salazarforsenate.com/issues/housing,paragraph 47 -> paragraph 48,,
40e20bf0a40eed78ad936e82,ac79dc1c5f25756f854aa1e1c98e96d42477b3de6ecbe6e4f05e069cbaae66e4,"In 2021, we are faced with more challenging times than any in recent memory. The summer of 2020 bore witness to the largest mobilization of a civil rights movement in 50 years, as the deaths of George Floyd nationally and Daniel Prude locally sparked protests all across Monroe County. The COVID-19 pandemic is ravaging Brighton and Monroe County, inflicting long-term health consequences on some of those who are fortunate enough to survive the disease.",http://www.wiltfortownboard.com/,paragraph 15 sentences 1-3,,
29fc0e5126065a7f37a2afe1,b16f7759a54e42b0e4ff77747f2ad4622aa221e2ba7806c2db06e56d6839b6cc,"All of this work must be done using union labor and prioritize at-risk, work-class communities, such as Red Hook and Gowanus.",https://jabariforstatesenate.com/climateandenergy,paragraph 48 sentence 4,,
c9ef53a2f748a6c4628c1ccb,eddf549dee11d8544aa8d468beed71f40434e5472489c6a1794d5e73dc660044,"I appealed the office’s denials to the statewide tribunal last year and won all 13 cases, but the appeals process delays transparency and wastes the county’s legal resources. To address improper RTKL denials, I would use the office’s statutory authority to directly obtain information for requesters.",https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-controller-leuba-oconnor,paragraph 204 sentences 5-6,,
0ec8cc7b1ebc0fdbbea5eb9d,b24df2de99ba6a3e133360ebc591bc4309462f4102de17548044e3094ce08c87,Press Palestine Info Grassroots Campaigns Get Involved Linktree Open Menu Close Menu CPC Actions Press Palestine Info Grassroots Campaigns Get Involved,https://web.archive.org/web/20240229103740/https://copalestine.co/vote-noncommitted,paragraph 27 -> paragraph 37,,
dcdd64c011c704c49982b81c,5c5fb5a4806d439635fcddca5a3930650e711591b8235a086594a57d296cb3f0,"We must stop funding violations of human rights. The genocide in Gaza must end. The genocide in the Sudan must end. Every person deserves to be safe, no matter where their home is. Every state’s right to exist obligates it to extend equal rights to all people.",https://www.chrisrabb.com/platform,paragraph 100,,
