excerpt_id,document_id,speaker,quote,locator,claim_type,stance,topic,subtopic,cycle,reviewed,review_notes
dsa-definition-001,dsa-what-is-democratic-socialism-current,DSA,"We must replace it with democratic socialism, a system where ordinary people have a real voice in our workplaces, neighborhoods, and society.",Paragraph 1,policy_support,support,economic_ownership,worker_control,current,true,Verified
dsa-definition-002,dsa-what-is-democratic-socialism-current,DSA,"We want to collectively own the key economic drivers that dominate our lives, such as energy production and transportation.",Paragraph 3,policy_support,support,economic_ownership,public_ownership,current,true,Verified
dsa-program-001,dsa-national-program-2026,DSA,"The Democratic Socialists of America is building a party whose goal is a democratic society of the working class.",Paragraph 4,strategy,support,political_strategy,movement_building,2026,true,Verified
dsa-convention-001,dsa-convention-2019-highlights,DSA,"If Bernie Sanders doesn't get the Democratic nomination, DSA won't endorse another Democratic Party presidential candidate.",BERNIE section,strategy,oppose,political_strategy,democratic_party,2020,true,Verified
dsa-health-001,dsa-what-is-democratic-socialism-current,DSA,"single-payer Medicare for All, defunding the police/refunding communities, the Green New Deal",Paragraph 3,policy_support,support,healthcare,single_payer,current,true,Verified exact list fragment
dsa-police-001,dsa-what-is-democratic-socialism-current,DSA,"defunding the police/refunding communities",Paragraph 3,policy_support,support,public_safety,police_abolition,current,true,Verified exact phrase
dsa-immigration-001,dsa-convention-2019-highlights,DSA,"abolition of the agencies of Immigration and Customs Enforcement and Customs and Border Protection",OPEN BORDERS section,policy_support,support,immigration,abolish_ice,2020,true,Verified exact phrase
dem-health-2016-001,democratic-platform-2016,Democratic National Committee,"Americans should be able to access public coverage through a public option, and those over 55 should be able to opt in to Medicare.",PDF page 36,policy_support,support,healthcare,public_option,2016,true,Verified with PDFKit
dem-health-2020-001,democratic-platform-2020,Democratic National Committee,"To achieve that objective, we will give all Americans the choice to select a high-quality, affordable public option through the Affordable Care Act marketplace.",PDF page 29,policy_support,support,healthcare,public_option,2020,true,Verified with PDFKit
dem-immigration-2020-001,democratic-platform-2020,Democratic National Committee,"Immigration and Customs Enforcement and Customs and Border Protection personnel abide by our values and professional, evidence-based standards and are held accountable for any inappropriate, unlawful, or inhumane treatment.",PDF page 65,policy_support,support,immigration,border_policy,2020,true,Verified with PDFKit
dem-capitalism-2024-001,democratic-platform-2024,Democratic National Committee,"capitalism without competition isn't capitalism, it's exploitation.",PDF page 24,value_statement,support,economic_ownership,regulation,2024,true,Verified with PDFKit
dem-police-2024-001,democratic-platform-2024,Democratic National Committee,"We need to fund the police, not defund the police.",PDF page 41,policy_opposition,oppose,public_safety,police_abolition,2024,true,Verified with PDFKit
bush-israel-2026-001,mo01-joint-appearance-2026,Cori Bush,"As stated by Human Rights Watch and Amnesty International, a genocide is happening in Gaza. Now, funding for other things that they may need, I have no problem with that. But to harm other people for weapons, absolutely.",Israel and military aid exchange,candidate_contrast,oppose,foreign_policy,palestine,2026,true,Verified against published direct quotation
bell-israel-2026-001,mo01-joint-appearance-2026,Wesley Bell,"I am no fan of [Israeli Prime Minister] Bibi Netanyahu, but we're still going to stand with our allies. And when we disagree, there's going to be disagreements. And I've been able to say to his face that I disagree with him. But it's important that we stand with our allies in Ukraine, Israel, Taiwan, Western Europe.",Israel and military aid exchange,candidate_contrast,support,foreign_policy,palestine,2026,true,Verified against published direct quotation
