corpus_segment_id,text_sha256,text,source_urls,locators,gold_topic_code,reviewed_by
a9842e003355b36ab0387b68,ffa9e37f3f61b63f4f455924b5018894bbcc060e45ea1555172be467d385ca2a,absolutely for we and I don't I told you the thirteen minutes fifteen minutes goes very very quickly Michael before we end how can people learn more about your stance,https://archive.org/download/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly/Greater_Somerville_Election_Special_-_State_Representative_Tim_Toomey_and_Candidate_Mike_Connolly.asr.srt,"time 00:12:54,90-00:12:59,35 -> time 00:12:59,36-00:13:04,01",,
4168e38b48f690140a9bc744,812925557c6fae948668b09f97199f32da8bf3fa32692c8d68da7fc5301a3f92,"Fair Elections + Fair Districts For the health of our democracy, we must ensure that voters have meaningful choices and a chance to allow their voices to be heard at every election opportunity - and the only way to ensure that in the long term is through an accountable, transparent, and citizen-controlled redistricting process that prioritizes amplifying the power of democracy over the continued dominance of one party over another. Kareem supports instituting a Citizen's Review Board that will have final approval over the redrawn state districts.",http://www.kareemforpa.com/issues,paragraph 52 -> paragraph 54 sentences 1-2,,
b6b6c90999d97ef0244b02ac,dcb9a818080fdb251beeb3e05462aa85f1e78cc546919f6feb2d70b40f3e626b,"Right now in Virginia, someone can work full-time and makes less than $15,000 a year. Compare that to the amount needed for a married couple with one child to live in Fairfax County—which is $58,394, according to MIT’s living wage calculator .",https://yasmineforvirginia.com/issues/jobs/embed,paragraph 39,,
8e6b65eea3fa05a036019279,313bf77e8ff0458a80be89d9b1ddfbd188c24f5f4c5ede691b290e32fbb234f4,Solutions: End poverty pay for Montana's teachers. Establish a statewide salary schedule for teachers. Eliminate the tax credit for private school donations. Keep college tuition frozen.,https://www.dannyforhd95.com/,paragraph 38 -> paragraph 39,,
98930becc1b16feff1acf494,166ff013281d4f43364f57b9e1ce3a0f12389b927653e5dcc01bad618917a368,I will assist in furthering legislation to approve & allocate funds and partner with businesses and local residents to get it done.,https://reconnectrochester.org/2021/05/2021-candidates-for-rochester,paragraph 598,,
940ba1271732df7070689ab6,b66cf07a89cc67a7d1449d035dad763db2405ebd001f17903b8056d9f2e598e5,LGBTQ+ Rights Phara for Assembly WordPress Embed HTML Embed Copy and paste this URL into your WordPress site to embed,https://pharaforassembly.com/platform/lgbtq/embed,paragraph 20 -> paragraph 24,,
8e9dc2166efcf7dcf9b5cdf3,add8f2b7ec2e1ad04eed6dea0772a5151c5ffdfc2b64381648194bac8e32b7d0,"August 19, 2026 at 2:25 am City As Micron’s semiconductor project accelerates, community pushback persists By Owen Smith Asst. Digital Editor",https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,paragraph 21 -> paragraph 24,,
ec74a56e57fbb67a447f90f1,ca7378078d9749fb06d7838b9aa03982962ec6d78955e63c284adc596b04cd71,"1 / 2 Contact Us Skip past photo slidehow Office of AM Marcela Mitaynes - Fall Constituent Services Office Hours. 4907 4th Ave #1a, Brooklyn, NY 11220. To schedule an appointment, please call (718) 492-6334 or email ad51@nyassembly.gov . Starting September 4th, 2023.",https://web.archive.org/web/20240605175409/https://nyassembly.gov/mem/Marcela-Mitaynes,paragraph 53 -> paragraph 56,,
fbc3b3474c8f1c1fc65c0164,75b1adfc7df5b144762621631ab7f123e263a9ec099ca2153189612e91ae3db2,"The city has a responsibility to protect our kids from junk food marketing—especially in our public spaces. We can remove unhealthy ads from bus stops, rec centers, and near schools, and instead promote real, healthy, culturally relevant food.",https://rocfoodpolicy.org/resources/questionnaire25/,paragraph 155,,
d5c3d643f3c3ff01d5c618d6,831f9d00d243ac960373bb248abc70a2ae735787e36802b9da48f05a6de3fcca,Click here to read the full article meg anand Previous Previous Hotgirls4nj is proud to endorse Meg anandarangam Next Next,https://www.megforqueencity.com/press/candidatestatement,paragraph 31 -> paragraph 37,,
54e31a18b99affea1d958163,af34e96da4879f587025381d9736a6f24d5f76b0a535ba0c8767eb7ac1f39ef5,10 captures 12 Aug 2014 - 06 Apr 2017 Mar APR May 16 2015 2016 2017 success fail About this capture,http://web.archive.org/web/20160416122402/https://timtoomey.org/transportation/,paragraph 1 -> paragraph 12,,
8cc2866fb7ca8fa7455f4865,39116c973c5e87fa63303c550ead2a3337048d286cadfd75be9ed96408a0e67e,"A big part of that is eliminating the Windfall Elimination Provision . You have people on both sides of the aisle acknowledging that it is the most regressive part of the tax code. We’re cutting social security benefits in half, and they’re being punished for putting money in they’re never going to get back. That’s wrong. I come from a line of teachers, and to me it’s obscene and abhorrent.",https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,paragraph 24,,
f6dfbe25769b5226257c2a94,b3f4034c487690c61d64f486cb005257096001c2d6b231f947751d013e709942,Home News News Opinion Politics Education Entertainment HomeLifeStyle Wellbeing Newcomers People Elections Virginia House of Delegates District 34 District 35,https://www.connectionnewspapers.com/news/2019/may/23/corado-v-walkinshaw-braddock-district-nomination,paragraph 22 -> paragraph 37,,
82cf1e074d9086dd8f24f915,48083ad14be9eb9a101b64e8ea60709012370b183cbf2fc479aa4b5539782d99,"STOPPING FOREIGN INTERFERENCE by fortifying our voting systems, ensuring social networks know who is posting political content, and aggressively punishing any attempt to hack into our voting systems or to infiltrate our democracy in any way. Something our treasonous president refuses to do.",https://web.archive.org/web/20190921214849id_/https://www.gleib2020.com/issues,paragraph 16,,
4b8a7e428ceec3aa34b61ca3,1491c9df73e799221c9182452520cb7eaba33ed74fe4af4880192d2b91c0b8e3,"COVID-19 has stalled progress on some goals, and they may have to be adjusted as we adapt to a post-pandemic world.",https://web.archive.org/web/20210430142024id_/https://www.goerie.com/story/news/local/2021/04/29/democrat-liz-allen-race-erie-city-council/7388188002/,paragraph 56 sentence 3,,
ecaa99581605626a844fc82c,12d9cdf78027c1bfaeed6f042f984fd2e67104bb6333a4db15c39b3a1271db9d,"The high cost of housing across the district prevents businesses from recruiting workers and pinches working families. A huge part of the problem stems from decades of the federal government having completely abandoned its responsibilities on public and affordable housing. In her first term, Val secured $4 million in funding for workers housing in North Bend. As our member of Congress, Val will continue to:",https://www.valhoyle.com/priorities,paragraph 36 sentences 3-6,,
72c15fe0aac712bc7067d25e,3fc514051139dd7dc797cfb09044453991a0368c2bda3a065f27911aa814ee13,"With this Micron moment, our region is going to gain new residents. My fear is that we will sprawl into the outer reaches of Onondaga County. This will increase our infrastructure burden, negatively impact commute times and perceived quality of life, while failing to address the concentration of poverty in Syracuse.",https://web.archive.org/web/20230624171610/https://www.syracuse.com/opinion/2023/06/tim-rudd-growing-syracuses-urban-core-improves-economy-for-all-your-letters.html,paragraph 36 -> paragraph 37,,
b96fcef3228df95ae2437889,28494d3800d17d1af59563f1082ad468bcf981f5a3d7de01e216d43193ecf50e,41 captures 22 Nov 2023 - 19 May 2024 Oct NOV Dec 22 2022 2023 2024 success fail About this capture,https://web.archive.org/web/20231122100438/https://www.dean24.com/platform,paragraph 1 -> paragraph 12,,
e3ee50b3150f46802182dccb,a426d8bdd8f6cf00a52a3ac0a49faf2d2bf811bfc7e32140c30515f782be54a1,Reading time: about 5 minutes Local clinical social worker and Cornell SC Johnson College of Business alum G.P. Zurenda ’88 has announced his candidacy for the Fifth Ward Common Council Seat.,https://www.cornellsun.com/article/2025/03/g-p-zurenda-88-joins-the-race-for-the-fifth-ward-common-council-seat,paragraph 112 -> paragraph 113,,
0ee8fefba3b8698cadf6e2ab,b053c77eef645827830dca534548b24a079db71a398066ffb2fd37b96325cf9b,"Being intentional about fixing NYCHA and community centers in public housing. “We got to be intentional about being reparative in Black communities, and that comes from a solid Black agenda,” said Rice. “We can’t just give it lip service.”",https://amsterdamnews.com/news/2026/06/04/passions-run-high-at-bed-stuy-state-election-debates/,paragraph 231 -> paragraph 232,,
f6c6a86cd0f3a5b01298099b,9c093030ffc1cca0988a21564f521113c65e40025bd0a64e0291a026bc749d88,Seaweed can help feed the world – but will we eat it? M.D. Harmon: Fantasy sports sites feed the unsuspecting to gambling's 'sharks',https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,paragraph 182 -> paragraph 183,,
e49cb80e1cecf28082c3b821,2933629e7d24b7f0d61bce545bd704b5fda865bfdd660f5e2b6b23a3b6dc371e,"As your next County Executive, I will be proposing that we start using a racial equity lens when crafting all of our county policies, and that includes staffing policies.",https://www.latinomontgomerydems.org/wp-content/uploads/2018/03/Elrich-Questionnaire-2.23.pdf,paragraph 3 sentence 10,,
f0d1d4bde8c914c76a381fc9,723be72819c244c49800a538cb93b9cb86079c89ba5fa13383a6a3f60824b9cd,TIMESTAMPS The Wayback Machine - https://web.archive.org/web/20190513201952/https://yasmineforvirginia.com/issues/gun-safety/ Skip to content Menu,https://yasmineforvirginia.com/issues/gun-safety,paragraph 22 -> paragraph 25,,
789f8aa9abf6ac1bc8a2bf25,ea8b574399d5c53b273ad1f7048bf125516a8411b0d97a828c7c648cbcd6d293,"Fight the upzonings which hold our communities hostage to the forces of gentrification Expand the rent stabilization system to cover all New York apartments, so that no tenant is faced with the prospect of suddenly being evicted from their homes",https://salazarforsenate.com/issues/housing,paragraph 47 -> paragraph 48,,
07746b86ad9ed4f903a1a74f,70b77039ed98cb68c4a7bc384886dd4d28a6a3a4e8d6df896ab5110088d132d4,Rochester recently received a renewal of its “Bronze” level award as a bike-friendly community. One of the key steps to receiving “Silver” status is a dedicated budget for implementing our Bike Master Plan. Would you support a line item in the budget devoted to bike infrastructure?,https://reconnectrochester.org/2021/05/2021-candidates-for-rochester,paragraph 296 | paragraph 366 | paragraph 443 | paragraph 479 | paragraph 514 | paragraph 545,,
29fc0e5126065a7f37a2afe1,b16f7759a54e42b0e4ff77747f2ad4622aa221e2ba7806c2db06e56d6839b6cc,"All of this work must be done using union labor and prioritize at-risk, work-class communities, such as Red Hook and Gowanus.",https://jabariforstatesenate.com/climateandenergy,paragraph 48 sentence 4,,
1272c704ba249926978a7fc8,82dbaed86be4dfecaa00b130d8c54d8a2d49573129fa78e86c6a3e5a461ec6d8,"Next, we need to take care of our aging housing stock and begin to provide quality affordable housing for Syracuse. This includes repairing, maintaining and ensuring homes remain livable. For far too long, our leaders have lacked the creativity and vision needed to make change in this area. They have settled for proposals from private developers instead of pushing for the housing our community needs.",https://dailyorange.com/2023/03/maurice-brown-onondaga-legislator-candidate-emphasizes-community-values/,paragraph 122 sentences 1-4,,
0ec8cc7b1ebc0fdbbea5eb9d,b24df2de99ba6a3e133360ebc591bc4309462f4102de17548044e3094ce08c87,Press Palestine Info Grassroots Campaigns Get Involved Linktree Open Menu Close Menu CPC Actions Press Palestine Info Grassroots Campaigns Get Involved,https://web.archive.org/web/20240229103740/https://copalestine.co/vote-noncommitted,paragraph 27 -> paragraph 37,,
62288ccc35a68fe9a6a6291c,52c844a9e29a89ab8ca06b21a988dba38238fddd18d1e79a0915a34affd513fa,"The primary election for the Democratic Party will take place on June 24. Update, 2/10, 7:45 p.m.: This article has been updated to remove a now outdated statement about open seats in the Tompkins County general election.",https://www.cornellsun.com/article/2025/02/hannah-shvets-27-launches-common-council-campaign-focuses-on-labor-and-housing-reform,paragraph 132 -> paragraph 133,,
7111b902be1790b0722b42fc,ad2b2346d04f818da8934a9f19e4f08f485998d01d25306d1931b19a42742b2a,"Moreno: Being able to connect immediately to a group of comrades who are now my colleagues, who have done this before, who have weathered the storms of taking votes that were unpopular, having been scolded or punished by leadership because of the votes or because of the stances that they’ve taken, having introduced legislation— I’m thinking of Not on Our Dime — that would seem unthinkable before a socialist brought them into being.",https://democraticleft.dsausa.org/2026/06/01/diana-moreno-organize-as-if-the-world-you-want-is-within-grasp/,paragraph 27 sentence 1,,
63dc8463eabd973d27b53e69,77585ecce7274261ed7734f96d8938466d8c64b00035b89beb6466ce36e08310,"Working as a defense attorney, Edwards said, he sees the effects of the lack of mental health and substance abuse services.",https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,paragraph 144,,
852c65ad93b03d4a5db438e4,4aabb9a2b3e554686c99eb48828e0e5bb3976d5a055d1c7d4ad9a9af61e53867,Thank you! You have successfully subscribed to our newsletter. Sign up for FPH's weekly Newsletter: The Best of The Week Submit Responses © 2018 Free Press Houston,https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,paragraph 62 -> paragraph 67,,
f132548c1967560e7ca2cd4c,0446779bcf130d12c01a876382aa60fb4cf903e4635b4d96201c5394ceb43112,Food Drink Restaurant Reviews Browse Views Lynn Cullen Live Peepshow Just Jaggin' Free Will Astrology Opinion Browse Archives + Guides Issue Archives,https://www.pghcitypaper.com/pittsburgh/election-guide-allegheny-county-district-attorney/Content,paragraph 42 -> paragraph 52,,
