cycle,election_date,state_code,chamber,district,term,stage,primary_party,status,candidate_names,source_urls,locators,notes
2024,2024-05-14,WV,House,01,regular,primary,Democratic,unresolved,,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2024,2024-05-14,WV,House,01,regular,primary,Republican,unresolved,,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2024,2024-05-14,WV,House,02,regular,primary,Democratic,unresolved,,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2024,2024-05-14,WV,House,02,regular,primary,Republican,unresolved,,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2024,2024-05-14,WV,Senate,S,regular,primary,Democratic,unresolved,,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,Regular Senate election is independently scheduled; certified numeric primary results were not recovered.
2024,2024-05-14,WV,Senate,S,regular,primary,Republican,unresolved,,https://results.enr.clarityelections.com/WV/120641/web.317647/#/summary,,Regular Senate election is independently scheduled; certified numeric primary results were not recovered.
2026,2026-05-12,WV,House,01,regular,primary,Democratic,unresolved,,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2026,2026-05-12,WV,House,01,regular,primary,Republican,unresolved,,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2026,2026-05-12,WV,House,02,regular,primary,Democratic,unresolved,,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2026,2026-05-12,WV,House,02,regular,primary,Republican,unresolved,,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary,,"Official Clarity route identified, but shell and data files returned empty bodies. Empty HTTP 200 responses are not treated as no races."
2026,2026-05-12,WV,Senate,S,regular,primary,Democratic,unresolved,,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary | https://www.fec.gov/documents/5910/2026pdates.pdf,,Regular Senate election is independently scheduled; certified numeric primary results were not recovered.
2026,2026-05-12,WV,Senate,S,regular,primary,Republican,unresolved,,https://results.enr.clarityelections.com/WV/126209/web.345435/#/summary | https://www.fec.gov/documents/5910/2026pdates.pdf,,Regular Senate election is independently scheduled; certified numeric primary results were not recovered.
