statement_key,race_id,candidate_name,election_date,group,quote,source_url,model_name,device,topic_code,topic_name,similarity,runner_up_code,runner_up_name,runner_up_similarity,margin,keyword_topic_code,keyword_score,keyword_agrees,reviewed_topic
d24a38c5f45d94d7e99186d5,race-a5c9cc4ff2b525bcb410,Ernest Yorihiko Martin,2018-08-11,opponent,We need to go back to the Paris Climate Agreement; we need to enforce the rules on the books.,https://www.civilbeat.org/2018/06/candidate-qa-u-s-house-district-1-ernie-martin/,sentence-transformers/all-MiniLM-L6-v2,cpu,7,Environment,0.305868,21,Public lands and water,0.191806,0.114062,,0.000000,false,climate_energy
7167c4cd9f02b45d62773339,race-b3391a7e7677cdca4f09,Erica Vilardi-Espinosa,2022-06-07,opponent,Updating the facilities and increasing staff to serve the most overcrowded schools and outdated buildings.,https://www.laschoolreport.com/meet-the-lausd-school-board-candidates-erica-vilardi-espinosa-is-running-to-make-sure-all-lausd-schools-are-doing-everything-to-ensure-our-children-are-prepared-for-the-future/,sentence-transformers/all-MiniLM-L6-v2,cpu,6,Education,0.330868,10,Transportation,0.261226,0.069642,,0.000000,false,education
be890dcf536bb6e017e31e69,race-ac18370d47435bd68552,Bradley Nemo Callaway,2026-08-04,endorsed,The minimum wage should be abolished in place of a universal basic income to which all wages are supplementary; however a national minimum wage tied to local cost of living and inflation that ensure that anyone with a job can thrive is acceptable.,https://ivoterguide.com/candidate/93065/race/28820/election/1435,sentence-transformers/all-MiniLM-L6-v2,cpu,5,Labor and employment,0.337649,13,Social welfare,0.274078,0.063572,1,0.447214,false,labor
5730d0d1a2b34ecc6b60fce7,race-3b8f105d02f390f68f75,Uncommitted Delegates,2024-03-12,endorsed,"By instead selecting Uncommitted Delegates together as a voting bloc against the war in Gaza, our votes WILL count.",https://web.archive.org/web/20240304014829/https://www.uncommittedwa.org/faqs,sentence-transformers/all-MiniLM-L6-v2,cpu,,Unclassified,0.153841,6,Education,0.073509,0.080333,19,0.447214,false,foreign_policy
d470065492ac3ab7b074d483,race-a493243e3fd4b72b829f,Janeese Lewis George,2026-06-16,endorsed,Janeese will strengthen and expand DC’s rent stabilization program and prioritize truly affordable homes in existing and new housing funds and projects.,https://janeesefordc.com/platform/homes-for-all/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.369166,13,Social welfare,0.178785,0.190381,14,0.894427,true,housing
d470065492ac3ab7b074d483,race-a493243e3fd4b72b829f,Janeese Lewis George,2026-06-16,endorsed,"She will launch Dignified Homes DC, a bold commitment to build publicly owned, mixed-income housing with stable and affordable rents that put people ahead of profit.",https://janeesefordc.com/platform/homes-for-all/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.386167,8,Energy,0.179769,0.206398,14,0.447214,true,housing
4e12cec0f33dc0129e8d04c0,race-cd399ec12b7b060fffa5,Hydee Feldstein Soto,2026-06-02,opponent,I support and enforce 41.18.,https://www.dailynews.com/2026/05/04/hydee-feldstein-soto-los-angeles-city-attorney-candidate-2026-primary-election-questionnaire/,sentence-transformers/all-MiniLM-L6-v2,cpu,,Unclassified,0.120717,12,"Law, crime and justice",0.117349,0.003368,,0.000000,false,public_safety
9d6433a143f82c492d371ae6,race-aed8879df9fbc709db76,Marianne Williamson,2020-03-03,opponent,"And I believe that anything less than $100 billion is an insult. And I believe that $200 billion to $500 billion is politically feasible today, because so many Americans realize there is an injustice that continues to form a toxicity underneath the surface, an emotional turbulence that only reparations will heal.",https://transcripts.cnn.com/show/se/date/2019-07-30/segment/01,sentence-transformers/all-MiniLM-L6-v2,cpu,8,Energy,0.201631,19,International affairs,0.187759,0.013872,,0.000000,false,civil_rights
3f94e7a4ba88defb2085980c,race-9dceacf3417bf74c80ec,Katjana Ballantyne,2025-09-16,opponent,Would you support a home rule petition to enable the city to stabilize rents? YES,https://www.progressivemass.com/wp-content/uploads/2025/08/Katjana-Ballantyne_2025-PM-Municipal-Questionnaire.docx.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.393928,21,Public lands and water,0.152491,0.241437,,0.000000,false,housing
920faaa32ab5d11f5e2e3473,race-739b00d07e247e111eb1,Danyelle Christmas,2025-10-11,endorsed,I will create a rent cap reflecting how much your district makes so it will match your cost of living.,https://www.danyelle4districte.com/platform,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.414815,8,Energy,0.212800,0.202015,14,0.447214,true,housing
61ae55f77a67eea3042fb096,race-b72c70764e7173f3e7b1,Helena Pasquarella,2026-06-02,endorsed,"ICE is terrorizing our communities and causing irreparable harm. This agency is rooted in xenophobia, fear, and bigotry - it must be abolished.",https://www.pasquarellaforcongress.com/,sentence-transformers/all-MiniLM-L6-v2,cpu,9,Immigration,0.226580,23,"Culture, family and social issues",0.211451,0.015129,,0.000000,false,immigration
dfd05f57b7b02f616575aafd,race-8a99a689340f254d2852,Brianna K. Thomas,2021-08-03,opponent,I stand by the council’s decision to divert millions of dollars from the general fund and SPD budget to reinvest in community based alternatives.,https://www.theurbanist.org/brianna-thomas-2021-questionnaire/,sentence-transformers/all-MiniLM-L6-v2,cpu,10,Transportation,0.235235,21,Public lands and water,0.229011,0.006224,1,0.447214,false,public_safety
57f1c7f227ff0bf9bcfc1db0,race-a5c9cc4ff2b525bcb410,Kaniela Saito Ing,2018-08-11,endorsed,"This means being a champion for Medicare-for-all, tuition-free college, ending reckless wars abroad, a Green New Deal for a 100 percent renewable energy future, and a $1 trillion investment in infrastructure.",https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/,sentence-transformers/all-MiniLM-L6-v2,cpu,3,Health,0.262321,8,Energy,0.253594,0.008727,8,0.894427,false,healthcare
b045bfae2171ba1c2caf3be1,race-65136bae40d3d3d9d35a,Regina A. Kinsey,2021-06-22,opponent,Public Safety and Housing is my priority. Making sure that our seniors and families with school age children have permanent housing is crucial.,https://patch.com/new-york/prospectheights/nyc-council-district-35-race-regina-kinsey-seeks-seat,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.380863,13,Social welfare,0.360607,0.020256,6,0.447214,false,housing
2db6a2b54d3772ead5b0ad55,race-a493243e3fd4b72b829f,Gary Goodweather,2026-06-16,opponent,"We will guarantee permanent affordability through community land trusts, social housing, and legally binding covenants so homes remain affordable for generations.",https://wtop.com/dc-election/2026/06/get-to-know-dc-mayoral-candidate-gary-goodweather/,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.450978,13,Social welfare,0.311781,0.139196,14,0.447214,true,housing
4ff4b355482ba7ff9527e092,race-4e0ada02ef4cde424267,Dana E. Gassaway,2022-07-19,opponent,"Ensuring our neighborhoods are safe through community policing, modern resources, and collaborative solutions.",https://gassawayforcouncil.com/,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.454979,14,Housing and community development,0.450280,0.004699,,0.000000,false,public_safety
be075396cc4206654c53dea7,race-ab159e431662d849f3f8,Marguerite Green,2019-10-12,endorsed,I want the Department of Agriculture and Forestry to be bolstering and helping all of our extension agents and all of our existing agricultural programs in retraining farmers in farming more sustainably.,https://www.bigeasymagazine.com/2019/10/10/campaigning-for-a-sustainable-future-an-interview-with-marguerite-green/,sentence-transformers/all-MiniLM-L6-v2,cpu,4,Agriculture,0.348292,21,Public lands and water,0.269553,0.078739,4,0.447214,true,climate_energy
e06e96788843985e7c694d00,race-1ebf8dc775ced8d30b89,Gabriel Cornejo,2024-03-05,opponent,Healthcare is a RIGHT—the privilege of a society that values one another. Every fully developed country has established healthcare as a right.,https://presidentialhopefuls.org/2024/01/16/gabriel-cornejo/,sentence-transformers/all-MiniLM-L6-v2,cpu,3,Health,0.352990,2,Civil rights and liberties,0.287731,0.065259,3,0.447214,true,healthcare
5c958bb473b98bd8d8cc5ab6,race-5f19151fb24a0a026037,Sara Innamorato,2018-05-15,endorsed,"These policies that can help ameliorate poverty and build a stronger middle class include a single-payer healthcare system, affordable and stable housing, access to meaningful, good-paying jobs and quality public education.",https://www.pghlesbian.com/2018/04/qa-with-sara-innamorato-candidate-for-pa-state-house-district-21/,sentence-transformers/all-MiniLM-L6-v2,cpu,13,Social welfare,0.471317,3,Health,0.360196,0.111120,3,0.447214,false,healthcare
7d200aff5c2640cd09cf5d1b,race-70174b009240792ba021,Mitch O'Farrell,2022-06-07,opponent,I'm proud to be piloting the city's first ever unarmed response program which diverts 9-1-1 calls related to homelessness away from the police and to mental health practitioners instead.,https://archive.org/details/la35ca-Mitch_O_Farrell_-_Candidate_CD_13,sentence-transformers/all-MiniLM-L6-v2,cpu,12,"Law, crime and justice",0.265052,13,Social welfare,0.243712,0.021339,12,0.447214,true,public_safety
1a4d0f5804abf8176b973450,race-6309d2d0fa189cfbbdcc,Gabriel Sanchez,2024-05-21,endorsed,"Promote strong investments in affordable, public, and social housing developments like Atlanta’s AUDC housing.",https://www.sanchezforgeorgia.com/our-vision,sentence-transformers/all-MiniLM-L6-v2,cpu,14,Housing and community development,0.520619,10,Transportation,0.283525,0.237094,14,0.447214,true,housing
750e9dd00b7b82f591e06157,race-deff03074ea69358d8e9,Sheigh Freeberg,2022-08-09,endorsed,We need to increase taxes on large corporations and wealthy Minnesotans.,https://www.spfe28.org/wp-content/uploads/2022/03/SD-65-Sheigh-Freeberg.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,8,Energy,0.222575,1,Macroeconomics,0.211921,0.010654,,0.000000,false,tax_budget
e337fcd272e758e21519eff1,race-aed8879df9fbc709db76,Pete Buttigieg,2020-03-03,opponent,"Under my plan, if you want Medicare, you can have it. If you prefer to keep your private plan, you can have that too. I trust you to decide.",https://www.rev.com/transcripts/new-hampshire-democratic-debate-transcript,sentence-transformers/all-MiniLM-L6-v2,cpu,3,Health,0.432831,13,Social welfare,0.162206,0.270625,3,0.447214,true,healthcare
b16bd3af1bea3d606023bec9,race-be73fd30b364372edaf2,Eleanor Chavez,2024-06-04,endorsed,Take on insurance companies and Pharma to lower premiums and prescription drug prices.,https://www.eleanorchavez.com/issues,sentence-transformers/all-MiniLM-L6-v2,cpu,3,Health,0.388640,15,"Business, commerce and consumers",0.214874,0.173766,3,0.447214,true,healthcare
cfb26b3698efd58ebd4d1a9c,race-3db59a6535d2b87f2703,Justin Brannan,2017-09-12,opponent,"Once elected to the City Council I will make it a priority that constituents in my district have an easy time registering to vote. We need early voting, shorter waiting time to switch parties and consolidated primaries.",https://d3n8a8pro7vhmx.cloudfront.net/newkings/pages/268/attachments/original/1495475306/Brannan_NKD_City_Council_Candidate_Questionnaire_2017.pdf,sentence-transformers/all-MiniLM-L6-v2,cpu,20,Government operations,0.218595,2,Civil rights and liberties,0.133651,0.084943,,0.000000,false,democracy
