attempt_id,attempted_on,state_code,cycle,source_url,method,outcome,raw_evidence,notes
sc-01-results-inventory,2026-09-22,SC,2024-2026,https://scvotes.gov/elections-statistics/election-results/,inspect official election event inventory,success_dates_and_event_ids,,"Identified regular, runoff, and special Senate events."
sc-02-2024-election-database,2026-09-22,SC,2024,https://electionhistory.scvotes.gov,download official contest-level result CSVs,success_contested_primary_and_runoff,sc/2024/sc-contest-6898.csv,Nine primary contests and one congressional runoff.
sc-03-enr-direct,2026-09-22,SC,2026,https://www.enr-scvotes.org/SC/126294/,request linked ENR directly,blocked_aws_waf_challenge,,No repeated loop; a public browser session was used.
sc-04-enr-browser-json,2026-09-22,SC,2026,https://www.enr-scvotes.org/SC/126294/,capture versioned JSON through public browser application,success_regular_and_runoff,sc/2026/sc-126294-en-summary.json,Includes June primary and runoff candidate totals.
sc-05-special-senate-json,2026-09-22,SC,2026,https://www.enr-scvotes.org/SC/127017/,capture special Senate primary and runoff JSON,success_special_primary_and_runoff,sc/2026/sc-127017-en-summary.json,Republican special primary and runoff retained separately.
sc-06-certification,2026-09-22,SC,2026,https://scvotes.gov/about-the-sec/public-notices/,capture signed canvass and results-verification PDFs,success_certification_support,sc/2026/sc-2026-primary-signed-certification.pdf,Certification dates verified independently from ENR.
sc-07-candidate-roster,2026-09-22,SC,2024-2026,https://scvotes.gov/candidates/,seek contemporaneous certified federal primary roster,not_recovered,,Missing units remain explicit; no general nominee substitution.
tn-01-results-page,2026-09-22,TN,2024-2026,https://sos.tn.gov/elections/results,request official result inventory with browser headers,success_download_links,discovery/tn-election-results.html,Ordinary requests were blocked; browser-equivalent headers succeeded.
tn-02-2024-workbook,2026-09-22,TN,2024,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20240801AllbyPrecinct.xlsx,download statewide results-by-precinct workbook,success_complete_primary,tn/2024/20240801AllbyPrecinct.xlsx,All 20 federal district-party units and named write-ins.
tn-03-2026-workbook,2026-09-22,TN,2026,https://sos-prod.tnsosgovfiles.com/s3fs-public/document/20260806AllbyPrecinct.xlsx,download statewide results-by-precinct workbook,success_complete_primary,tn/2026/20260806AllbyPrecinct.xlsx,All 20 federal units under the revised district map.
tn-04-redistricting,2026-09-22,TN,2026,https://sos.tn.gov/announcements/2026-congressional-redistricting,capture official revised-map notice,success_map_verified,tn/2026/tn-2026-congressional-redistricting.html,Confirms May 2026 map revision before the August primary.
