research_group,election_year,candidate_names,entity_kind,grouping_scope,records_without_direct_review,records_with_direct_review,race_ids,meaning
2016 | bernie-sanders,2016,Bernie Sanders,individual_candidate,same_cycle_national_campaign_research_only,35,1,us-president-dem-primary-2016-al | us-president-dem-primary-2016-ar | us-president-dem-primary-2016-az | us-president-dem-primary-2016-ca | us-president-dem-primary-2016-ct | us-president-dem-primary-2016-dc | us-president-dem-primary-2016-de | us-president-dem-primary-2016-fl | us-president-dem-primary-2016-ga | us-president-dem-primary-2016-il | us-president-dem-primary-2016-in | us-president-dem-primary-2016-ma | us-president-dem-primary-2016-md | us-president-dem-primary-2016-mi | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-ms | us-president-dem-primary-2016-mt | us-president-dem-primary-2016-nc | us-president-dem-primary-2016-ne | us-president-dem-primary-2016-nh | us-president-dem-primary-2016-nj | us-president-dem-primary-2016-ny | us-president-dem-primary-2016-oh | us-president-dem-primary-2016-ok | us-president-dem-primary-2016-or | us-president-dem-primary-2016-pa | us-president-dem-primary-2016-pr | us-president-dem-primary-2016-ri | us-president-dem-primary-2016-sd | us-president-dem-primary-2016-tn | us-president-dem-primary-2016-tx | us-president-dem-primary-2016-va | us-president-dem-primary-2016-vt | us-president-dem-primary-2016-wa | us-president-dem-primary-2016-wi | us-president-dem-primary-2016-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | bill-french,2016,Bill French,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | brock-c-hutton,2016,Brock C. Hutton,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | calvis-l-hawes,2016,Calvis L. Hawes,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-tx,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | david-john-thistle,2016,David John Thistle,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | edward-sonnino,2016,Edward Sonnino,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | edward-t-jr-o-donnell,2016,"Edward T., Jr. O'Donnell",individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | eric-elbot,2016,Eric Elbot,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | graham-schwass,2016,Graham Schwass,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | henry-hewes,2016,Henry Hewes,individual_candidate,same_cycle_national_campaign_research_only,4,0,us-president-dem-primary-2016-az | us-president-dem-primary-2016-ca | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | hillary-clinton,2016,Hillary Clinton,individual_candidate,same_cycle_national_campaign_research_only,35,1,us-president-dem-primary-2016-al | us-president-dem-primary-2016-ar | us-president-dem-primary-2016-az | us-president-dem-primary-2016-ca | us-president-dem-primary-2016-ct | us-president-dem-primary-2016-dc | us-president-dem-primary-2016-de | us-president-dem-primary-2016-fl | us-president-dem-primary-2016-ga | us-president-dem-primary-2016-il | us-president-dem-primary-2016-in | us-president-dem-primary-2016-ma | us-president-dem-primary-2016-md | us-president-dem-primary-2016-mi | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-ms | us-president-dem-primary-2016-mt | us-president-dem-primary-2016-nc | us-president-dem-primary-2016-ne | us-president-dem-primary-2016-nh | us-president-dem-primary-2016-nj | us-president-dem-primary-2016-ny | us-president-dem-primary-2016-oh | us-president-dem-primary-2016-ok | us-president-dem-primary-2016-or | us-president-dem-primary-2016-pa | us-president-dem-primary-2016-pr | us-president-dem-primary-2016-ri | us-president-dem-primary-2016-sd | us-president-dem-primary-2016-tn | us-president-dem-primary-2016-tx | us-president-dem-primary-2016-va | us-president-dem-primary-2016-vt | us-president-dem-primary-2016-wa | us-president-dem-primary-2016-wi | us-president-dem-primary-2016-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | james-valentine,2016,James Valentine,individual_candidate,same_cycle_national_campaign_research_only,2,0,us-president-dem-primary-2016-ar | us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | john-wolfe,2016,John Wolfe,individual_candidate,same_cycle_national_campaign_research_only,3,0,us-president-dem-primary-2016-ar | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | jon-adams,2016,Jon Adams,individual_candidate,same_cycle_national_campaign_research_only,2,0,us-president-dem-primary-2016-mo | us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | keith-judd,2016,Keith Judd,individual_candidate,same_cycle_national_campaign_research_only,6,0,us-president-dem-primary-2016-ca | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-nh | us-president-dem-primary-2016-ok | us-president-dem-primary-2016-tx | us-president-dem-primary-2016-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | larry-lawrence-cohen,2016,Larry (Lawrence) Cohen,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-il,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | lloyd-kelso,2016,Lloyd Kelso,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | mark-stewart,2016,Mark Stewart,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-ri,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | mark-stewart-greenstein,2016,Mark Stewart Greenstein,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | martin-j-o-malley,2016,Martin J. O'Malley,individual_candidate,same_cycle_national_campaign_research_only,12,1,us-president-dem-primary-2016-al | us-president-dem-primary-2016-ar | us-president-dem-primary-2016-fl | us-president-dem-primary-2016-il | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-nh | us-president-dem-primary-2016-ok | us-president-dem-primary-2016-tn | us-president-dem-primary-2016-tx | us-president-dem-primary-2016-va | us-president-dem-primary-2016-vt | us-president-dem-primary-2016-wi | us-president-dem-primary-2016-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | martin-o-malley,2016,Martin O'Malley,individual_candidate,same_cycle_national_campaign_research_only,6,0,us-president-dem-primary-2016-az | us-president-dem-primary-2016-ga | us-president-dem-primary-2016-ma | us-president-dem-primary-2016-mi | us-president-dem-primary-2016-ms | us-president-dem-primary-2016-nc,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | michael-a-steinberg,2016,Michael A. Steinberg,individual_candidate,same_cycle_national_campaign_research_only,2,0,us-president-dem-primary-2016-nh | us-president-dem-primary-2016-ok,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | michael-steinberg,2016,Michael Steinberg,individual_candidate,same_cycle_national_campaign_research_only,3,0,us-president-dem-primary-2016-az | us-president-dem-primary-2016-ca | us-president-dem-primary-2016-ga,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | paul-t-jr-farrell,2016,"Paul T., Jr. Farrell",individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | raymond-michael-moroz,2016,Raymond Michael Moroz,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | richard-lyons-weil,2016,Richard Lyons Weil,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | robert-lovitt,2016,Robert Lovitt,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | rocky-roque-de-la-fuente,2016,"""Rocky"" Roque De La Fuente",individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-pr,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | roque-rocky-de-la-fuente,2016,"Roque ""Rocky"" De La Fuente | Roque Rocky De La Fuente",individual_candidate,same_cycle_national_campaign_research_only,23,0,us-president-dem-primary-2016-al | us-president-dem-primary-2016-ar | us-president-dem-primary-2016-az | us-president-dem-primary-2016-ca | us-president-dem-primary-2016-ct | us-president-dem-primary-2016-dc | us-president-dem-primary-2016-de | us-president-dem-primary-2016-il | us-president-dem-primary-2016-ma | us-president-dem-primary-2016-md | us-president-dem-primary-2016-mi | us-president-dem-primary-2016-mo | us-president-dem-primary-2016-ms | us-president-dem-primary-2016-nc | us-president-dem-primary-2016-nh | us-president-dem-primary-2016-oh | us-president-dem-primary-2016-ok | us-president-dem-primary-2016-pa | us-president-dem-primary-2016-ri | us-president-dem-primary-2016-tx | us-president-dem-primary-2016-vt | us-president-dem-primary-2016-wi | us-president-dem-primary-2016-wv,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | sam-sloan,2016,Sam Sloan,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | star-locke,2016,Star Locke,individual_candidate,same_cycle_national_campaign_research_only,3,0,us-president-dem-primary-2016-nh | us-president-dem-primary-2016-ok | us-president-dem-primary-2016-tx,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | steve-burke,2016,Steve Burke,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | steven-roy-lipscomb,2016,Steven Roy Lipscomb,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | vermin-supreme,2016,Vermin Supreme,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | wille-l-wilson,2016,Wille L. Wilson,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-il,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | william-h-jr-mcgaughey,2016,"William H., Jr. McGaughey",individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-nh,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | willie-l-wilson,2016,Willie L. Wilson,individual_candidate,same_cycle_national_campaign_research_only,2,0,us-president-dem-primary-2016-mo | us-president-dem-primary-2016-tx,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2016 | willie-wilson,2016,Willie Wilson,individual_candidate,same_cycle_national_campaign_research_only,1,0,us-president-dem-primary-2016-ca,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
2020 | amy-j-klobuchar,2020,Amy J. Klobuchar,individual_candidate,same_cycle_national_campaign_research_only,1,0,race-ea5afd75c9af396451a4,"Acquisition work unit, not an independent observation or proof that a source applies to every listed primary."
