attempt_id,attempted_on,state_code,cycle,source_url,method,outcome,raw_evidence,notes
la-01-official-result-api,2026-09-22,LA,2024-2026,https://www.sos.la.gov/elections-voting/election-results-statistics,discover public data blobs and human-readable workbooks,success_complete_past_events,la/election-dates.json,Official flags confirm all captured past events are final.
la-02-2024-open-primary,2026-09-22,LA,2024,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20241105/Election+Results+(11-05-2024).xlsx,download official November statewide workbook,success_complete_open_primary,la/2024/la-2024-11-05-open-primary-results.xlsx,Six House contests; no closed party-primary labels.
la-03-2026-senate-primary,2026-09-22,LA,2026,https://s3-us-west-2.amazonaws.com/mediaresults.sos.la.gov/HumanReadableElectionResults/20260516/Election+Results+(05-16-2026).xlsx,download party-primary and second-primary workbooks,success_complete_senate_primary_and_runoff,la/2026/la-2026-05-16-party-primary-results.xlsx,Both Democratic and Republican Senate contests recovered.
la-04-revised-house-calendar,2026-09-22,LA,2026,https://www.sos.la.gov/media/p31j4zkc/elections-calendar-2026.pdf,verify Act 7 revised calendar,future_house_open_primary,la/2026/elections-calendar-2026.pdf,"House contests moved to November 3, after the current cutoff."
ms-01-2024-statewide-recaps,2026-09-22,MS,2024,https://www.sos.ms.gov/elections-voting/election-results,"download Democratic, Republican, and runoff statewide recaps",success_partial_primary_complete_runoff,ms/2024/ms-2024-democratic-primary-recap.pdf,House 3 Democratic has no published result row.
ms-02-2026-statewide-recaps,2026-09-22,MS,2026,https://www.sos.ms.gov/elections-voting/election-results,download both statewide party recaps,success_complete_primary,ms/2026/ms-2026-democratic-primary-recap.pdf,Senate and all four House districts recovered for both parties.
ok-01-official-page,2026-09-22,OK,2024-2026,https://oklahoma.gov/elections/elections-results.html,follow official result-application links,success_election_dates,discovery/ok-2026-runoff-page.html,June and August election events identified separately.
ok-02-public-app-network,2026-09-22,OK,2024-2026,https://results.okelections.gov/OKER/,capture public application result JSON responses,success_official_primary_and_runoff,ok/2026/ok-2026-06-16-primary.json,All captured result payloads have isOfficial=true.
ok-03-candidate-rosters,2026-09-22,OK,2024-2026,https://oklahoma.gov/elections/candidates/2026-candidate-filing-information.html,capture official filing grid and candidate book,success_roster_only_units,ok/2026/ok-2026-roster-only.csv,Includes 2026 Libertarian Senate and unopposed House units.
ok-04-withdrawal-resolution,2026-09-22,OK,2026,https://oklahoma.gov/elections/candidates/2026-candidate-filing-information/2026-candidate-withdrawals.html,verify missing House 1 Republican runoff,runoff_cancelled_after_withdrawal,ok/2026/ok-2026-candidate-withdrawals.html,Prevents the June plurality from being treated as a runoff result.
