finding_id,title,finding,limit,comparison_ids,source_case_count,source_urls
az18-original-platforms-show-insurance-divide-and-aca-overlap,The Arizona2018 campaign archives show a real insurer-role disagreement alongside ACA overlap,"Westbrook's candidate-authored article explicitly proposes tax-financed single payer and eliminating private health insurers, while Tipirneni's plan calls for Medicare buy-in and competition with private insurers. Their early platforms also share support for preserving existing ACA coverage. Westbrook specifies free public-college tuition and paid parental leave; Tipirneni emphasizes apprenticeships and job protection during family or medical emergencies. The latter text does not specify paid status, so silence is not coded as opposition.","The sources are early and pre-primary congressional-campaign versions, not a complete census of the campaign. Westbrook's article says Medicaid in one line and Medicare for All in a heading; the inconsistency is preserved rather than silently repaired. A later state-house platform reached through a redirect was excluded.",az18-westbrook-tipirneni-health | az18-westbrook-tipirneni-private-insurance | az18-westbrook-tipirneni-aca | az18-westbrook-tipirneni-education | az18-westbrook-tipirneni-leave,1,http://hiralforcongress.com:80/issues/healthcare | https://web.archive.org/web/20170701000000id_/https://westbrook2018.com/on-the-issues | https://web.archive.org/web/20170701000000id_/https://westbrook2018.com/our-platform | https://web.archive.org/web/20171216170154id_/https://westbrookforcongress.com/an-unintended-benefit-for-older-americans-with-single-payer-system/ | https://web.archive.org/web/20180118020724id_/http://hiralforcongress.com/issues/economy/ | https://web.archive.org/web/20180215000000id_/http://hiralforcongress.com/issues/healthcare/
md39-2026-data-center-conditions-and-transit-overlap,"A blanket data-center objection differs from conditional approval, while transit commitments overlap","In the District39 Maryland questionnaire, Gabriel Acevero explicitly opposes additional data centers. George Lluberes, Lesley Lopez, Greg Wims and Robert Wu instead specify different conditions on growth, costs, labor, resource use or siting. All five nevertheless support expanding public transportation. Acevero and Lopez also both affirm ending287(g) cooperation, while the candidates emphasize different additional services and protections for immigrant communities.","The exact pre-primary version of these republished Vote411 answers is unverified, so comparisons remain timing-qualified and the full answers do not enter the dated model corpus. Amar Mukunda is not covered by the publisher guide; no nonresponse or withdrawal is inferred.",md26-acevero-lluberes-data | md26-acevero-lopez-data | md26-acevero-wims-data | md26-acevero-wu-data | md26-acevero-lluberes-transit | md26-acevero-lopez-transit | md26-acevero-wims-transit | md26-acevero-wu-transit | md26-acevero-lopez-immigration,1,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/
presidential-labels-versus-insurance-design,Medicare-for-All wording does not establish an identical insurance design,"Sanders' retained2020 platform proposes national single-payer coverage free at point of service. Yang's dedicated page uses the Medicare-for-All title but qualifies his support as its spirit, rejects rapid private-insurance elimination and emphasizes cost and delivery reform. Williamson's dedicated healthcare page explicitly offers Medicare through ACA exchanges and retains private choice, despite more general Medicare-for-all language on her economy page. Gleib combines Medicare expansion for uninsured people with ACA repair, private choice and ending job-tied coverage.","These are specific dated campaign-source snapshots, not proof that each candidate's position was unchanged throughout the campaign. Topic or phrase matching is not a substitute for reading the financing and transition qualifications.",hpf20-sanders-yang-health | hpf20-sanders-williamson-health | hpf20-sanders-gleib-health,1,https://web.archive.org/web/20190921214849id_/https://www.gleib2020.com/issues | https://web.archive.org/web/20200101000000id_/https://www.marianne2020.com/issues/healthcare | https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/ | https://web.archive.org/web/20200201000000id_/https://www.yang2020.com/policies/medicare-for-all/
presidential-debt-and-income-designs,Debt forgiveness and income security differ in explicit scope and mechanism,"Sanders and Williamson both explicitly propose canceling all existing college/student debt, while Gleib proposes forgiving half and easing repayment of the remainder. Sanders specifies an employment guarantee at a living wage; Yang and Williamson specify monthly cash basic income. Williamson's economy page says all American adults in one place and ages18-65 in an embedded response, so the dataset retains that eligibility ambiguity rather than silently selecting one rule.",The income mechanisms may coexist; these passages do not establish blanket opposition to the other approach. Projected effects and candidate fiscal estimates are not independently verified. Shared national sources are not multiplied into independent state-level observations.,hpf20-sanders-williamson-debt | hpf20-sanders-gleib-debt | hpf20-sanders-yang-income | hpf20-sanders-williamson-income,1,https://web.archive.org/web/20190921214849id_/https://www.gleib2020.com/issues | https://web.archive.org/web/20200101000000id_/https://www.marianne2020.com/issues/the-economy | https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/ | https://web.archive.org/web/20200201000000id_/https://www.yang2020.com/policies/the-freedom-dividend/
wi26-common-prompts-reject-simple-ideological-split,"Common Wisconsin governor prompts reveal different tools and priorities, alongside shared commitments","In PBS Wisconsin's early2026 interviews, Francesca Hong and Kelda Roys both support zoning changes to increase housing supply. Hong additionally names land trusts and accessory dwellings, while Mandela Barnes foregrounds corporate property concentration and Sara Rodriguez describes coordinating rules and funding. On school vouchers, Roys explicitly calls for responsible closure; Hong sharply criticizes the program but does not specify closure in this selected answer. All six tracked Democrats describe bipartisan work positively. Their first-bill answers differ more clearly: Hong begins with gun safety and children-focused measures, Barnes prioritizes BadgerCare expansion, and other candidates emphasize affordability through healthcare, housing, schools or public-system buy-in.","These are six common topic responses per tracked candidate from an edited broadcast series, not complete final platforms. They predate later withdrawals and do not prove continued activity at the primary. Other people interviewed by PBS are not silently added to the tracked ballot field, and the candidates' claimed records are not independently verified.",wi26-hong-roys-housing | wi26-hong-barnes-housing | wi26-hong-rodriguez-housing | wi26-hong-roys-vouchers | wi26-hong-barnes-priorities | wi26-hong-rodriguez-priorities | wi26-hong-brennan-priorities | wi26-hong-crowley-priorities | wi26-hong-roys-priorities | wi26-hong-barnes-bipartisan | wi26-hong-rodriguez-bipartisan | wi26-hong-brennan-bipartisan | wi26-hong-crowley-bipartisan | wi26-hong-roys-bipartisan,1,https://pbswisconsin.org/watch/here-and-now/wisconsins-2026-governor-candidates-on-the-cost-of-housing-rxmiyw/ | https://pbswisconsin.org/watch/how-wisconsin-s-2026-governor-candidates-view-bipartisanship/how-wisconsins-2026-governor-candidates-view-bipartisanship-pw3vgb/ | https://pbswisconsin.org/watch/what-wisconsin-s-2026-governor-hopefuls-want-to-pursue-first/what-wisconsins-2026-governor-hopefuls-want-to-pursue-first-hjb4yp/ | https://pbswisconsin.org/watch/wisconsin-s-2026-governor-candidates-consider-school-funding/wisconsins-2026-governor-candidates-consider-school-funding-lgrrw3/
ny17-local-issues-crosscut-endorsements,The 2017 Bay Ridge interviews cut across a simple socialist-versus-moderate divide,"Khader El-Yateem and Nancy Tong both oppose supervised injection facilities in their2017 interviews and support more affordable housing for residents displaced by unsafe conversions. El-Yateem makes preserving parking a condition of bike-share support, while Justin Brannan emphasizes waterfront recreation and Kevin Carroll emphasizes public participation in siting. All three opponents' answers supply specific local-service proposals. Brannan also describes municipal constituent work as activism, while Carroll explicitly presents himself as a moderate. These actual statements are more informative than assigning positions from endorsement labels.","Four of the five Democratic candidates have reviewed published interview answers, not complete platforms; Vincent Chirico remains missing. Brannan's injection-site stance is only a reporter paraphrase in this source, so it is not used to invent a literal quoted disagreement with El-Yateem. The historical statements are not medical advice or present-day positions.",ny17-elyateem-tong-injection-sites | ny17-elyateem-tong-housing | ny17-elyateem-brannan-bikes | ny17-elyateem-carroll-bikes | ny17-elyateem-brannan-sanitation | ny17-elyateem-carroll-sanitation | ny17-elyateem-tong-sanitation | ny17-elyateem-brannan-frame | ny17-elyateem-carroll-frame,1,https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-justin-brannan/ | https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-kevin-peter-carroll/ | https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-nancy-tong/ | https://www.brooklynpaper.com/our-sit-down-with-bay-ridge-council-candidate-rev-khader-el-yateem/
single-payer-overlap-and-disagreement,"Single-payer produces real disagreements, but not a uniform endorsement-group split","Brandon West supports the New York Health Act while Briget Rein explicitly rejects single-payer and favors union-negotiated coverage. Illapa Sairitupac prioritizes single-payer while Denny Salas favors a public option and rejects single-payer. But Sairitupac and Grace Lee share support, as do Melat Kiros and Diana DeGette. In the timing-qualified Illinois 2020 guide, Anthony Clark, Danny Davis and Kina Collins all endorse Medicare for All, while Kristine Schanbacher proposes an ACA public option. The candidate-dated Massachusetts 2020 questionnaires, whose first public-release timing remains qualified, show an important jurisdictional distinction: Erika Uyterhoeven supports Massachusetts single payer; Catia Sharp rejects a state-only plan while supporting federal single payer. In a different Massachusetts race, both Anna Callahan and Christine Barber support state single payer, although Barber also proposes a public-option step toward it.","These examples establish the presence of both disagreement and overlap, not their prevalence across the full national candidate population.",cmp-joldc-west-rein-single-payer | cmp-joldc-37-38-healthcare | cmp-joldc-37-40-healthcare | co01-healthcare-alignment-2026 | il20-clark-davis-health | il20-clark-collins-health | il20-clark-schanbacher-health | ny16-bowman-engel-health | ny16-bowman-ravelo-health | ny22-alexis-mays-health | ma20-uyterhoeven-sharp-state-payer | ma20-callahan-barber-state-payer | ma20-callahan-barber-health-route,8,https://jimowles.org/news/candidate-answers-to-joldc-brandon-west-for-city-council-district-39 | https://jimowles.org/news/candidate-answers-to-joldc-briget-rein-for-city-council-district-39 | https://jimowles.org/news/candidate-answers-to-joldc-david-alexis-for-ny-senate-district-21-2022 | https://jimowles.org/news/candidate-answers-to-joldc-denny-salas-for-ny-assembly-district-65-2022 | https://jimowles.org/news/candidate-answers-to-joldc-grace-lee-for-ny-assembly-district-65-2022 | https://jimowles.org/news/candidate-answers-to-joldc-illapa-sairitupac-for-ny-assembly-district-65-2022 | https://jimowles.org/news/candidate-answers-to-joldc-kaegan-mays-williams-for-ny-senate-district-21-2022 | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/anthony-clark | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/danny-k-davis | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/kina-collins | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/kristine-schanbacher | https://patch.com/new-york/bronxville/jamaal-bowman-candidate-ny-congressional-district-16 | https://patch.com/new-york/newrochelle/eliot-engel-candidate-ny-congressional-district-16 | https://patch.com/new-york/newrochelle/sammy-ravelo-candidate-ny-congressional-district-16 | https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/ | https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/ | https://www.progressivemass.com/wp-content/uploads/2021/03/2020_House_Anna-Callahan.pdf | https://www.progressivemass.com/wp-content/uploads/2021/03/2020_House_Catia-Sharp.pdf | https://www.progressivemass.com/wp-content/uploads/2021/03/2020_House_Christine-Barber.pdf | https://www.progressivemass.com/wp-content/uploads/2021/03/2020_House_Erika-Uyterhoeven.pdf
housing-tools-and-shared-goals,Housing contrasts often concern complementary tools rather than opposing goals,"Izola Shaw emphasizes public housing-production financing while Allison Eriksen emphasizes zoning reform. Aparna Raj combines housing supply and tenant protection while Miguel Deramo emphasizes that access requires more homes. Mamdani and Ramos both support a rent freeze. In DC Ward4, Janeese Lewis George combines tenant protections with deeper affordability and public investment; Brandon Todd emphasizes housing delivery and funding already secured; Marlena Edwards emphasizes replicating a particular affordable-development model. Across these examples, different tools often coexist rather than constituting opposing platforms.","The retained answers are not exhaustive platform inventories. A tool omitted from one answer remains unknown, not rejected.",cmp-hist-a-10-007 | cmp-hb06-raj-deramo-housing | cmp-joldc-24-26-housing | cmp-joldc-24-28-housing | dc20-george-todd-housing | dc20-george-edwards-housing,4,https://jimowles.org/news/candidate-answers-to-joldc-adrienne-adams-for-nyc-mayor-2025 | https://jimowles.org/news/candidate-answers-to-joldc-jessica-ramos-for-nyc-mayor-2025 | https://jimowles.org/news/candidate-answers-to-joldc-zohran-kwame-mamdani-for-nyc-mayor-2025 | https://wtop.com/dc-election/2026/06/get-to-know-ward-1-dc-council-candidate-aparna-raj | https://wtop.com/dc-election/2026/06/get-to-know-ward-1-dc-council-candidate-miguel-trindade-deramo | https://www.montgomery4all.org/allison-eriksen-2026 | https://www.montgomery4all.org/izola-shaw-2026 | https://www.petworthnews.org/blog/edwards-candidate-responses | https://www.petworthnews.org/blog/george-candidate-responses | https://www.petworthnews.org/blog/todd-candidate-responses
implementation-and-messaging,Implementation strategy and campaign emphasis can differ even when goals overlap,"Derrick Crowe emphasizes registering and mobilizing new Democratic voters, whereas Joseph Kopser emphasizes Republican crossover support. Kaniela Ing emphasizes starting with a bold progressive agenda while Ed Case emphasizes finding cross-party agreement. In other examples, Kiros and DeGette share a healthcare goal but describe different routes to passage; Mamdani explicitly centers affordability while Lander names ending street homelessness as his first campaign commitment.","This describes candidates' stated strategies and self-defined priorities, not measured spending, message frequency, or causal electoral effects.",co01-healthcare-passage-strategy-2026 | parent-mamdani-lander-explicit-priorities | tx18-crowe-kopser-coalition | hi18-ing-case-strategy | hi18-ing-fukumoto-strategy | il20-clark-davis-strategy | il20-clark-schanbacher-strategy,5,https://jimowles.org/news/candidate-answers-to-joldc-brad-lander-for-nyc-mayor-2025 | https://jimowles.org/news/candidate-answers-to-joldc-zohran-kwame-mamdani-for-nyc-mayor-2025 | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/anthony-clark | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/danny-k-davis | https://news.wttw.com/elections/voters-guide/2020/candidates/congressional-districts/kristine-schanbacher | https://web.archive.org/web/20180221024126id_/https://www.texasobserver.org/selling-smart-strategy-fight-brews-democratic-values-congressional-district-21/ | https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-beth-fukutomo/ | https://www.civilbeat.org/2018/07/candidate-qa-u-s-house-district-1-kaniela-ing/ | https://www.civilbeat.org/2018/07/in-crowded-race-for-congress-democrats-span-ideological-spectrum/ | https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/ | https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/
shared-support-distinct-conditions,Support for the same program can carry materially different conditions,"In the 2020 South Bronx primary, Samelys Lopez calls for single payer without patient charges and includes undocumented residents. Ritchie Torres supports a version of single payer with explicit labor-buy-in, Bronx-funding and Bronx-job conditions. They nevertheless both support healthcare for undocumented residents, supervised consumption sites and sex-work decriminalization. Preserving those conditions gives a more faithful comparison than labeling Torres simply anti-single-payer.","Two candidates' documented positions do not cover the entire twelve-candidate primary, and support for one measure does not imply identical broader platforms.",ny15-lopez-torres-single-payer | ny15-lopez-torres-immigrant-health | ny15-lopez-torres-consumption | ny15-lopez-torres-sex-work,1,https://filtermag.org/samelys-lopez/ | https://indypendent.org/2020/06/samelys-lopez-we-need-public-medicine-for-public-health/ | https://jimowles.org/news/candidate-answers-to-joldc-ritchie-torres-for-us-congress-ny-15
