sticking_point_id,race_id,topic,subtopic,candidate_a,candidate_b,contrast_type,relationship_code,candidate_a_quote,candidate_b_quote,candidate_a_source,candidate_b_source
009c70d031122ebd5f7354b7,race-6233a2b380836f3b2218,political_strategy,democratic_party,Cori Bush,Wesley Bell,explicit_conflict,explicit_disagreement,"Wesley Bell, who voted to thank ICE, can’t meet the political moment because he’s bankrolled by prominent ICE contractors and the same donors who put President Trump back in the White House.",,https://www.coribush.org/priorities,
5138d7008742ea90687fc50f,race-a6abe667124f4bdfeafd,democracy,campaign_finance,Nithya Raman,David Ryu,explicit_conflict,explicit_disagreement,"The campaign finance reform ordinance approved by City Council in 2019 was, to be kind, a joke.",,https://losangeles.cagreens.org/elections/los-angeles-cd4-questionnaire,
8c29ce936b0324bb8e07d9dc,race-9d81c90e4175cd261dc2,political_strategy,class_struggle,Max Socol,Jeff Waldstreicher,explicit_conflict,explicit_disagreement,"We will offer a working class agenda -- rent control, taxes on the rich, better public schools, universal healthcare, climate readiness -- and create campaign systems that develop neighborhood leaders in the ignored areas of District 18.",,https://mdcdsa.org/wp-content/uploads/2021/10/Max-Socol-DSA-Endorsement-Questionnaire.pdf,
9f17f3f365cb7339ff8c872c,race-9d81c90e4175cd261dc2,political_strategy,movement_building,Max Socol,Jeff Waldstreicher,explicit_conflict,explicit_disagreement,"To build power for DSA and progressive ally organizations by taking our messages to the public, and to defeat a powerful conservative Democrat who represents some of the wealthiest people in America and has sabotaged our work on police abolition, progressive taxation, and decommodified housing.",,https://mdcdsa.org/wp-content/uploads/2021/10/Max-Socol-DSA-Endorsement-Questionnaire.pdf,
7a9a04442cde4277a4f4ca58,race-5650629789d1169ab061,political_strategy,governing,George S. Latimer,Jamaal Bowman,explicit_conflict,explicit_disagreement,"The people on the far left, the Squad, are about making statements, and sort of trying to move the dialogue. I’m not worried about moving dialogue. I want to see if we can solve problems.",,https://www.cbsnews.com/newyork/news/jamaal-bowman-george-latimer-new-york-primary-election/,
36e876355caff95e4cdc1051,race-2d45550960d2b093207f,political_strategy,democratic_party,Gus Lambropoulos,Kristen Gonzalez,explicit_conflict,explicit_disagreement,"During the past two years, Senator Gonzalez and the network of the Democratic Socialists of America (DSA) have sought to divide our community.",,https://www.qgazette.com/articles/gus-lambropoulos-presents-a-clear-choice-for-state-senator/,
5d8e6da594c26b2c2f17dbdf,race-980dc8b6fade3efe9c74,healthcare,single_payer,Michael Bennet,Bernie Sanders,explicit_conflict,explicit_disagreement,"Instead of fighting a losing battle over the next 10 years for Medicare for All, for example, we should build a broad coalition to achieve The Real Deal",,https://www.presidency.ucsb.edu/documents/bennet-campaign-press-release-michael-bennet-unveils-the-real-deal-new-comprehensive,
ee2a2e28456b7698d93e1517,race-aed8879df9fbc709db76,healthcare,single_payer,Michael Bennet,Bernie Sanders,explicit_conflict,explicit_disagreement,"Instead of fighting a losing battle over the next 10 years for Medicare for All, for example, we should build a broad coalition to achieve The Real Deal",,https://www.presidency.ucsb.edu/documents/bennet-campaign-press-release-michael-bennet-unveils-the-real-deal-new-comprehensive,
ce42d244f3da25eff9a317d7,race-c3b021b27cd1f9089be2,healthcare,single_payer,Michael Bennet,Bernie Sanders,explicit_conflict,explicit_disagreement,"Instead of fighting a losing battle over the next 10 years for Medicare for All, for example, we should build a broad coalition to achieve The Real Deal",,https://www.presidency.ucsb.edu/documents/bennet-campaign-press-release-michael-bennet-unveils-the-real-deal-new-comprehensive,
4ac3fd2de37142faa5805a8c,race-73071b15a1c4c8d1ee8f,healthcare,single_payer,Michael Bennet,Bernie Sanders,explicit_conflict,explicit_disagreement,"Instead of fighting a losing battle over the next 10 years for Medicare for All, for example, we should build a broad coalition to achieve The Real Deal",,https://www.presidency.ucsb.edu/documents/bennet-campaign-press-release-michael-bennet-unveils-the-real-deal-new-comprehensive,
