race_id,election_date,office,jurisdiction,candidate_name,role,documented_topics,policy_statements,campaign_frames,other_or_unspecified_statements,evidence,interpretation_limit
me-house-39-dem-primary-2016,2016-06-14,State Representative District 39,Maine,Andrew Edwards,opponent,healthcare,0,1,0,"[{""excerpt_id"": ""exc-hist-a-01-001"", ""topic"": ""healthcare"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Direct quotation describing clients unable to obtain mental-health or substance-use help; the mechanism is not quoted."", ""quote"": ""They want help, they’re begging for help, but they can’t get it"", ""source_url"": ""https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/"", ""locator"": ""paragraph 145"", ""source_type"": ""candidate_profile"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
me-house-39-dem-primary-2016,2016-06-14,State Representative District 39,Maine,Mike Sylvester,endorsed,governance,0,1,0,"[{""excerpt_id"": ""exc-hist-a-01-002"", ""topic"": ""governance"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Direct quotation states a governing principle; surrounding reporter text, not this quote, lists his specific proposals."", ""quote"": ""government has a moral imperative to help the people that it governs"", ""source_url"": ""https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/"", ""locator"": ""paragraph 160"", ""source_type"": ""candidate_profile"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
national-rec0ntzcTu773zMP5-dem-primary,2023-05-16,"Allegheny County Council, District 11",Allegheny County,Dennis McDermott,endorsed,climate_environment | democratic_reform | justice_and_public_safety | tax_budget,4,0,0,"[{""excerpt_id"": ""pa23-mcdermott-shuman"", ""topic"": ""criminal_justice"", ""kind"": ""policy_position"", ""claim_summary"": ""Opposes private ownership of the Shuman Center and seeks retained county authority and oversight."", ""quote"": ""cannot be achieved through private ownership of the Shuman Center"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 233"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-mcdermott-environment"", ""topic"": ""climate_energy"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports a county-land fracking ban, exploring wider restrictions, ending what he calls pay-to-pollute practices and investing in cleaner transport. Exploration is not represented as an already enacted countywide ban."", ""quote"": ""avenues to ban fracking everywhere in the county should be explored"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 229"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-mcdermott-assessments"", ""topic"": ""tax_policy"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports reassessment, transparent processes and education, with protections against displacement of low-income residents."", ""quote"": ""low-income residents are protected"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 226"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-mcdermott-council"", ""topic"": ""democratic_reform"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports greater council staffing and resources to advance policy and constituent priorities."", ""quote"": ""More staff and resources are needed for County Council"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 235"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
national-rec0ntzcTu773zMP5-dem-primary,2023-05-16,"Allegheny County Council, District 11",Allegheny County,Paul Klein,opponent,climate_environment | democratic_reform | justice_and_public_safety | tax_budget,4,0,0,"[{""excerpt_id"": ""pa23-klein-shuman"", ""topic"": ""criminal_justice"", ""kind"": ""policy_position"", ""claim_summary"": ""Opposes privatizing Shuman and favors studying its future with judges, social workers, psychologists and community members."", ""quote"": ""Certainly, it must remain a public entity. We must not privatize."", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 208"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-klein-environment"", ""topic"": ""climate_energy"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for enforcement and stronger industrial-pollution standards, working with the health department toward a greener economy."", ""quote"": ""our standards will have to become increasingly stringent"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 206"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-klein-assessments"", ""topic"": ""tax_policy"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for a major assessment-system overhaul through a council committee with broader participation. The answer does not specify every new valuation rule."", ""quote"": ""a more transparent and equitable manner"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 204"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-klein-council"", ""topic"": ""democratic_reform"", ""kind"": ""policy_position"", ""claim_summary"": ""Says limited staffing impedes council's serious oversight and deliberative responsibilities and calls for more help."", ""quote"": ""We do need help."", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/allegheny-county-council-district-11-klein-mcdermott"", ""locator"": ""paragraph 210"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
national-recihG0fIKbvStGIg-dem-primary,2023-05-16,"Pittsburgh City Council, District 7",City of Pittsburgh / Allegheny County,Deb Gross,endorsed,housing | justice_and_public_safety,4,0,0,"[{""excerpt_id"": ""pa23-gross-public-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for more publicly owned housing and incentives for collective ownership rather than relying only on market production."", ""quote"": ""It is time to add back publicly owned housing."", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 231"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-gross-inclusionary"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Expresses support for inclusionary zoning and describes neighborhood mandates, while saying inclusionary zoning alone is insufficient. The claimed unit totals are not independently certified."", ""quote"": ""fought for and won Inclusionary Zoning mandates"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 230"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-gross-youth"", ""topic"": ""public_safety"", ""kind"": ""policy_position"", ""claim_summary"": ""Proposes doubling Parks and Recreation funding, adding youth supports and addressing household needs as part of violence prevention."", ""quote"": ""We can double the budget for Parks and Recreation."", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 227"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-gross-police"", ""topic"": ""public_safety"", ""kind"": ""policy_position"", ""claim_summary"": ""Would shift desk and other non-police tasks to civilians so officers can focus on work requiring police; this is not a proposal to eliminate every police function."", ""quote"": ""desk jobs that could be filled by civilians"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 234"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
national-recihG0fIKbvStGIg-dem-primary,2023-05-16,"Pittsburgh City Council, District 7",City of Pittsburgh / Allegheny County,Jordan Botta,opponent,housing | justice_and_public_safety,4,0,0,"[{""excerpt_id"": ""pa23-botta-public-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports short- and medium-term public housing, tenant protections, rent-control measures and right-of-first-refusal legislation."", ""quote"": ""invest in short- and medium-term public housing"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 205"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-botta-inclusionary"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Calls for citywide inclusionary zoning. His criticism of the number of homes produced is a campaign claim, not this study's verified housing inventory."", ""quote"": ""pass inclusionary zoning measures citywide"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 204"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-botta-youth"", ""topic"": ""public_safety"", ""kind"": ""policy_position"", ""claim_summary"": ""Proposes childcare, school programs, mental-health supports and community resources as violence-prevention investments."", ""quote"": ""universal child care, before- and after-school programs"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 202"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""pa23-botta-police"", ""topic"": ""public_safety"", ""kind"": ""policy_position"", ""claim_summary"": ""Emphasizes recruitment, retention, diversity, pay and officer wellness; also endorses partnerships with social workers and mental-health professionals."", ""quote"": ""officer recruitment and retention"", ""source_url"": ""https://www.wesanews.org/wesa-voter-guide/2023-04-18/pittsburgh-city-council-district-7-botta-gross"", ""locator"": ""paragraph 207"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
national-recz9WOUNjTC3V34x-dem-primary,2026-06-02,"Plainfield City Council, Ward 1",Plainfield,Meg Anandarangam,endorsed,housing,1,0,0,"[{""excerpt_id"": ""exc-hist-c-27-022"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Candidate-authored statement."", ""quote"": ""fight for rent control the centerpiece of my first months in office"", ""source_url"": ""https://www.megforqueencity.com/press/plainfieldneedsrentcontrolnow"", ""locator"": ""paragraph 30"", ""source_type"": ""official_campaign_statement"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-0159b30b2abfcca8ea6b,2025-06-24,City Council,District 38,Alexa Avilés,endorsed,housing,2,0,0,"[{""excerpt_id"": ""ex-hd-25-alexa-avil-s"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Candidate-attributed retained text; prompts, navigation, reporter narration, and neighboring candidates are excluded. | Candidate’s first-person JOLDC questionnaire answer on housing; questionnaire prompt and surrounding answers excluded."", ""quote"": ""invest in funding both housing development and preservation, as well as tenant protections and policies"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-alexa-avils-for-city-council-district-38-2025"", ""locator"": ""paragraph 35"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""ex-joldc-680e40f0e5d4447049e10632-housing"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Supports permanent homes, full FHEPS funding, and stronger enforcement against source-of-income discrimination."", ""quote"": ""To combat homelessness, New Yorkers need permanent homes"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-alexa-avils-for-city-council-district-38-2025"", ""locator"": ""paragraph 28"", ""source_type"": ""candidate_questionnaire"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-0159b30b2abfcca8ea6b,2025-06-24,City Council,District 38,Ling Ye,opponent,housing,1,0,0,"[{""excerpt_id"": ""ex-hd-25-ling-ye"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Candidate-attributed retained text; prompts, navigation, reporter narration, and neighboring candidates are excluded. | Quote occurs in the retained candidate-associated campaign-authored platform or statement at paragraph 55; navigation, prompts, reporter narration, endorsement text, and other candidates are excluded."", ""quote"": ""we do need to give incentives to developers"", ""source_url"": ""https://www.bkreader.com/newsletter/meet-your-candidates-alexa-aviles-and-ling-ye-for-city-council-district-38-10485822"", ""locator"": ""paragraph 55"", ""source_type"": ""candidate_interview"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
race-017fe96eb07366f790ea,2024-06-25,State Assembly,District 56,Eon Tyrell Huntley,endorsed,campaign_strategy_and_framing | education | housing,2,1,0,"[{""excerpt_id"": ""ny24-huntley-tenant-protection"", ""topic"": ""housing"", ""kind"": ""policy_position"", ""claim_summary"": ""Explicitly commits to protecting renters in his candidate statement, without specifying a complete enforcement mechanism in this passage."", ""quote"": ""fight to protect renters"", ""source_url"": ""https://www.brooklynpaper.com/brooklyns-56th-assembly-district-race-heats-up-as-progressive-newcomer-challenges-incumbent/"", ""locator"": ""paragraph 115"", ""source_type"": ""candidate_statement"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""ny24-huntley-funding"", ""topic"": ""campaign_approach"", ""kind"": ""campaign_frame"", ""claim_summary"": ""Presents refusal of real-estate, charter-school and pro-war-interest money as part of his accountability message. This is a stated campaign commitment, not an independent finance audit or proof of his opponent's positions."", ""quote"": ""I do not take any money from real estate developers"", ""source_url"": ""https://www.brooklynpaper.com/brooklyns-56th-assembly-district-race-heats-up-as-progressive-newcomer-challenges-incumbent/"", ""locator"": ""paragraph 115"", ""source_type"": ""candidate_statement"", ""timing"": ""verified_publication_date""}, {""excerpt_id"": ""ny24-huntley-public-services"", ""topic"": ""education"", ""kind"": ""policy_position"", ""claim_summary"": ""Explicitly supports free CUNY and free childcare, alongside fuller public-school funding. No opposing Zinerman education position is inferred from missing evidence."", ""quote"": ""free childcare and free CUNY"", ""source_url"": ""https://www.brooklynpaper.com/brooklyns-56th-assembly-district-race-heats-up-as-progressive-newcomer-challenges-incumbent/"", ""locator"": ""paragraph 115"", ""source_type"": ""candidate_statement"", ""timing"": ""verified_publication_date""}]",Documented in selected reviewed evidence; not a complete platform or a measured campaign-priority ranking. Unobserved topics remain unknown.
