region_id,zone,displayed_on_map,segment_count,candidate_count,mean_log1p_density_ratio,semantic_coherence,mean_membership_probability,centroid_x,centroid_y,top_terms,representative_excerpt,representative_candidate,representative_source_type
D1,hot,True,49,6,0.016563332213,0.591485,0.893767,4.686755,10.484167,collective | liberation | join | necessary | come,"...a strategy toward STL DSA as a mass socialist organization firmly rooted in the multi-racial working class, powered and empowered by its members in the fight for our collective liberation.",St. Louis Democratic Socialists of America,chapter_platform
D2,hot,True,13,5,0.020137990495,0.754035,0.962811,3.59492,10.572939,donor | nationalist | controlled | attack | far,"The center-right Democratic Party is controlled by its elite donor class, and cannot act as an effective political counter to the nationalist far right.",Democratic Socialists of America,dsa_national_program
D3,hot,False,13,6,0.014758395024,0.631072,1.0,4.43658,9.607943,helped | gaza | won | wage | strike,"We’ve won higher wages and better working conditions by going on strike as unionized teachers, auto workers, nurses, and graduate students.",Democratic Socialists of America,dsa_national_program
M1,cold,True,123,25,-0.009240309327,0.701376,0.805428,1.508897,8.113867,water | land | pollution | management | environmental,"Our state faces many other environmental challenges such as wetlands conservation, forestry management, protection of public waters, management of commercial animal waste, solid waste...",Arkansas Democratic Party,state_party_platform
M2,cold,True,31,14,-0.011853099402,0.826909,0.942069,-1.874376,8.832706,education | school | high-quality | student | teacher,"Democrats recognize and honor all the professionals who work in public schools to support students’ education—teachers, education support professionals, and specialized staff.",Democratic National Committee,national_party_platform
M3,cold,False,163,8,-0.01243051427,0.781097,0.604033,-2.006812,9.250243,arkansan | health | healthcare | insurance | fight,"As a record number of Arkansans have health insurance, many still struggle to afford the prescription drugs necessary to live a meaningful life.",Arkansas Democratic Party,state_party_platform
M4,cold,False,33,2,-0.010108730985,0.832731,0.947889,-1.186907,9.6441,violence | separation | dreamer | harassment | limited,"Nebraska Democrats oppose discrimination, harassment, and bullying against any person for reasons including but not limited to: actual or perceived race, ethnicity, religion, familial...",Nebraska Democratic Party,state_party_platform
M5,cold,False,23,15,-0.011704650846,0.837047,0.96777,-2.25862,8.11524,school | student | level | funding | teacher,"Implement culturally responsive policies at every level within our schools by providing training for all school staff, school board members, and students, and by applying best practices to...",New Mexico Democratic Party,state_party_platform
M6,cold,False,48,13,-0.008774427717,0.780162,0.888663,-0.846525,9.829691,jobs | investment | technology | infrastructure | economic,"Transportation & Infrastructure Democrats believe in state and federal investment in public infrastructure and transportation to improve our state’s economic competitiveness, create jobs...",New Mexico Democratic Party,state_party_platform
S1,shared,True,21,15,-0.001448638885,0.789864,0.899727,2.058862,10.884291,financing | donor | money | contribution | disclosure,"We believe money is not speech and government at all levels must require disclosures and regulate, limit, or prohibit campaign contributions and expenditures.",Democratic Party of Oregon,state_party_platform_google_doc
S2,shared,True,25,12,-0.001106415584,0.813514,0.921499,1.571893,11.391633,voter | voting | paper | elected | ranked-choice,"...county, and state governments in their efforts to upgrade old voting equipment and machines with modern systems, including voter-verified paper ballots, to ensure that all voters are able...",Democratic National Committee,national_party_platform
S3,shared,False,42,11,-0.000593954253,0.724884,0.928319,-0.596475,7.483467,health | prescription | care | healthcare | price,"[PDF page 18] ● Increased federal funding for community health centers, the Veterans Health Administration, the Indian Health Service, public hospital systems, disability care, mental...",Democratic Socialists of America,dsa_national_platform_draft
S4,shared,False,22,9,0.001045314938,0.752309,0.956108,-0.823345,8.204424,drug | treatment | addiction | disorder | use,"Whenever possible, Democrats will prioritize prevention and treatment over incarceration when tackling addiction and substance use disorder.",Democratic National Committee,national_party_platform
S5,shared,False,46,6,-0.001124703219,0.780919,0.749114,0.002191,9.232443,biden | trump | economic | ally | alliance,President Biden will continue to work closely with the EU on emerging political and economic challenges and work with our European and Indo-Pacific allies to disrupt Russia’s emerging...,Democratic National Committee,national_party_platform
S6,shared,False,59,9,-0.000887339463,0.753095,0.72912,0.561774,8.106599,disability | service | education | access | protection,"...nutrition, clothing, shelter, freedom of religious practices, disability access, family unity, legal defense, a living wage for their work, and access to basic education services...",Washington State Democratic Party,state_party_platform
