bundle_id,race_id,election_date,candidate_name,role,question_id,topic,question,original_question,complete_answer,answer_sha256,question_locator,answer_locator,answer_paragraph_count,question_scope,pairing_basis,corpus_exclusion_reason,review_caveat,excluded_publisher_paragraphs,source_id,metadata_document_id,source_url,final_url,source_raw_path,source_sha256,publication_date,publication_month,source_updated_date,available_by_date,archive_capture_date,timing_status,source_notes,review_method,record_type
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,Gabriel Acevero,endorsed,data-centers,data_centers,"Data centers can bring some important economic benefits, but also have a negative impact on the power grid, water supply and land use. Do you support the establishment of additional centers in Maryland? Why or why not?","Data centers can bring some important economic benefits, but also have a negative impact on the power grid, water supply and land use. Do you support the establishment of additional centers in Maryland? Why or why not?","I do not support the establishment of additional data centers in Maryland. Data centers strain an already outdated grid, require massive water usage, and consume land that could otherwise support housing and community development. We can expand digital infrastructure without sacrificing environmental health. As Delegate, I have been focused on environmental justice to include supporting the Climate Solutions Now Act, which directs Maryland toward cleaner, community‑centered development.",cc373ae14adfe7c94b235d77b9a91c3d89b27894c2ae303c384eb62fe44b8655,paragraph 54,paragraphs 56-56,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,Gabriel Acevero,endorsed,utilities,utility_affordability,What do you see as the factors contributing to escalating utility costs in Maryland? How will you address them?,What do you see as the factors contributing to escalating utility costs in Maryland? How will you address them?,"Rising utility costs are a major concern and I have worked to address the energy monopoly in Maryland and predatory practices that drive these increases. Over the past several years, I have supported legislation to lower household energy burdens, strengthening consumer protection and expand programs that help low‑income families across our state such as the Community Solar Program, which lowers bills for renters and families who cannot install rooftop solar.",317b3fefae5e40b5a9fbf0df0f11e1c479cc55d14ee1c065d783582e93efb798,paragraph 67,paragraphs 69-69,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,Gabriel Acevero,endorsed,transit,public_transportation,Should the availability of public transportation be improved across the state? Why or why not?,Should the availability of public transportation be improved across the state? Why or why not?,"Yes, Maryland must improve and expand public transportation because it is essential to our economy, working families, students, seniors, and it's central to meeting our state's climate goals. As Delegate, I have consistently supported efforts to strengthen and modernize our transit system such as the Purple Line expansion as well as voting in favor of the WMATA (Metro) Funding Act of 2026. Investing in public transit is one of the surest ways to reduce traffic while spurring economic activity.",051d58d5fe5e40be77b6846b9f270dc629749f394363afb57be036a26f122638,paragraph 80,paragraphs 82-82,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,Gabriel Acevero,endorsed,budget,budget_priorities,"Maryland is required to balance the budget every year. What will be your three top budget priorities, and what programs will you fight for?","Maryland is required to balance the budget every year. What will be your three top budget priorities, and what programs will you fight for?","I have served on the House Appropriations Committee since 2019 and I'm the Chair of its Public Safety & Administration Subcommittee. This session, my top budget priorities are funding our public schools, victim services, rape kit testing, domestic violence programs and developmental disability services. I also remain committed to advancing the long‑delayed Maryland Women’s Pre‑Release Center, a critical investment in reentry services for women transitioning back into our communities.",667947f301391904910efb161b79005223702168bff0dc68cb3ceadf5c66ac06,paragraph 93,paragraphs 95-95,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,Gabriel Acevero,endorsed,immigration,immigrant_communities,"Immigrants are an important part of our community and make significant contributions, including to Maryland's economy. What will you do to support immigrant communities in Maryland?","Immigrants are an important part of our community and make significant contributions, including to Maryland's economy. What will you do to support immigrant communities in Maryland?","As an immigrant and Vice Chair of the Maryland Legislative Latino Caucus, I have worked to support and protect immigrant communities by expanding healthcare coverage for undocumented immigrants, ending local law enforcement cooperation with ICE by prohibiting 287(g) agreements and expanding access to counsel for immigrants in detention. Maryland must remain a safe, welcoming, and just place for immigrant families, and I will continue advancing legislation that reflects those values.",d6133ee7ff44bbd0dfd3847f546ef27ba46ec02abac5c7f1299593fdf783217e,paragraph 106,paragraphs 108-108,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,George Lluberes,opponent,data-centers,data_centers,"Data centers can bring some important economic benefits, but also have a negative impact on the power grid, water supply and land use. Do you support the establishment of additional centers in Maryland? Why or why not?","Data centers can bring some important economic benefits, but also have a negative impact on the power grid, water supply and land use. Do you support the establishment of additional centers in Maryland? Why or why not?","I support economic growth with appropriate guardrails. First, Maryland needs to establish clear standards for high-energy facilities like data centers that protect our resources, strengthen the power grid, and that also align with our climate goals without adding burdens to already overburdened communities. Economic growth should not come at the expense of long-term sustainability.",912207378c445df8dece327991c51ccb811807238eb009dcbe8f77e5ec053a8e,paragraph 54,paragraphs 58-58,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,George Lluberes,opponent,utilities,utility_affordability,What do you see as the factors contributing to escalating utility costs in Maryland? How will you address them?,What do you see as the factors contributing to escalating utility costs in Maryland? How will you address them?,"Utility bills are rising because our grid is aging, fuel prices are volatile, and demand is going up. Maryland also imports about 40% of its electricity, which makes us vulnerable. The state needs to hold utilities accountable and require large users to pay for the upgrades they are driving, not make working families foot the bill.",a0c3611b3d8d7c9af4288bacf552add73af3a73ae71f49bf8ed7c0a14db701fe,paragraph 67,paragraphs 71-71,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,George Lluberes,opponent,transit,public_transportation,Should the availability of public transportation be improved across the state? Why or why not?,Should the availability of public transportation be improved across the state? Why or why not?,"Yes. Public transportation is an important way to expand opportunity and affordability. It reduces traffic, connects us to essential services, and gets us to work and school. Expanding reliable bus service, off-peak MARC trains, and safe walking and biking options will make our communities better.",b2674c5d095dc9b0f228b3045db593203e2c58fcf34fa1a8da2e5d6aff2864c2,paragraph 80,paragraphs 84-84,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,George Lluberes,opponent,budget,budget_priorities,"Maryland is required to balance the budget every year. What will be your three top budget priorities, and what programs will you fight for?","Maryland is required to balance the budget every year. What will be your three top budget priorities, and what programs will you fight for?","Our budget should reflect our values. My priorities are fully funding the Blueprint for Maryland’s Future, stabilizing the childcare scholarship fund, and increasing affordability. Marylanders have some of the highest vehicle registration fees in the country. I would lower those fees for working families by modestly increasing the fees on luxury vehicles, so relief is more equitable and fiscally responsible.",ed3c0fecca5a48f475b279deab0cf945c244d29df942fff5a6bd0d1b1422be39,paragraph 93,paragraphs 97-97,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
md39-2026,race-d8835fb9366a2e5d54c7,2026-06-23,George Lluberes,opponent,immigration,immigrant_communities,"Immigrants are an important part of our community and make significant contributions, including to Maryland's economy. What will you do to support immigrant communities in Maryland?","Immigrants are an important part of our community and make significant contributions, including to Maryland's economy. What will you do to support immigrant communities in Maryland?","Supporting immigrants means supporting America's founding principle of equal justice under the law. As a proud Dominican-American, I have seen firsthand the opportunities and barriers facing immigrants. In a time when the federal government is actively working to attack our immigrant communities, Maryland cannot sit idly by. We need leaders who are proactive and willing to fight these attacks. I will work to expand legal defense, language access, and ensure immigrant families have a real voice.",4c81de19e25de0f7a9cde542e4675a78e3ea5ee1a6048815efafbed0f12af0b5,paragraph 106,paragraphs 110-110,1,policy_or_campaign,same_published_question,,,,md26-d39,,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,https://marylandmatters.org/voter-guides/contests/district-39-democratic-primary/,data/raw/policy_maryland_2026_followup/md26-d39/188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c.html,188da9a9f73e6e871c93a11daa868452e9c7dc98aee33661ef5b55204a35e86c,,,,,,pre_primary_time_unverified,"Maryland Matters republishes named Vote411 candidate answers. Its retained2026 guide methodology explicitly says campaign-site biographies were edited/condensed but questionnaire answers were not edited. Only the five named answer blocks are reviewed here, not biographies. This contest page lacks a verified original publication/revision timestamp; the current guide also displays an election-complete notice. Parent-guide release metadata is not proof these exact answers were available before June23. Preserve pre-primary version uncertainty and original wording. Amar Mukunda is absent from this guide; absence is not proof of nonresponse, withdrawal or no platform. All legal, fiscal and biographical claims remain attributed candidate statements, not independent findings.",assistant_source_review_not_independent_human_gold,complete_candidate_answer_not_independent_stance_gold
