excerpt_id,speaker,race_id,election_date,topic,quote,source_url,publication_date,quote_match_locators,source_sha256,reviewed,review_method,representation_kind,representation_review_notes,document_id,role,subtopic,stance,short_exact_quote,locator,notes,canonical_speaker,review_notes,archive_url,capture_date,temporal_evidence_date,ballot_name,ballot_party,identity_resolution,identity_evidence_ids,identity_review_notes,identity_source_ids,identity_evidence_type,comparison_scope,election_timing,timing_status,evidence_status,source_id,metadata_document_id,attribution_notes,election_identity_status,source_status,source_type,metadata_publication_date,publication_month,available_by_date,source_updated_date,version_timing_qualification,candidate_scoped_locators,identity_caveat,official_election_source,official_election_source_status,certified_opponents_status,replaced_source_document_id,candidate_document_registration,source_speaker,identity_review,claim_summary,answer_context,identity_evidence_document_ids
kiros-strategy-2026-001,Melat Kiros,race-92d9ab18d64e4a42b737,2026-06-30,political_strategy,electing people who refuse corporate PAC money,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 84,b29c9287957583f0a4fceb51f624b6ee36ff3fc20ffac139b1790aa8a7582127,false,assistant_source_review_not_independent_human_gold,campaign_frame,"These statements describe a route to political change or how a candidate would exercise representation: donor-independent coalitions, committee leverage, or federal-local coordination, rather than a distinct substantive policy instrument.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degette-strategy-2026-001,Diana DeGette,race-92d9ab18d64e4a42b737,2026-06-30,political_strategy,I will have a gavel. I will have subpoena power.,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 113,3b3b807ff5b2c053e58c0df2e86b87c5036ec4dd2d5a39d41e5d98797f4b5237,false,assistant_source_review_not_independent_human_gold,campaign_frame,"These statements describe a route to political change or how a candidate would exercise representation: donor-independent coalitions, committee leverage, or federal-local coordination, rather than a distinct substantive policy instrument.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex-ny13-theo-federal-role-1,Theo Bruce Chino-Tavarez,race-64bde8b146c8826d40ce,2026-06-23,governance,the job of the Mayor to work with their members of Congress so we can bring his agenda and our collective priorities to Washington,https://patch.com/new-york/harlem/election-q-meet-ny-13-candidate-theo-chino-tavarez,2026-06-04,paragraph 58,655ccb1252cc68584b333999f7ffac43880c366be24e3ec8ed2bdf269c8eeadb,false,assistant_source_review_not_independent_human_gold,campaign_frame,"These statements describe a route to political change or how a candidate would exercise representation: donor-independent coalitions, committee leverage, or federal-local coordination, rather than a distinct substantive policy instrument.",ny13-theo-chino-patch-20260604,opponent_candidate,federal_local_coordination,support,the job of the Mayor to work with their members of Congress so we can bring his agenda and our collective priorities to Washington,"PATCH question on affordability; CHINO-TAVAREZ first answer, second sentence","Direct candidate answer. The excerpt establishes his stated federal-local coordination approach, not a complete affordability platform.",Theo Bruce Chino-Tavarez,"Assistant source review; Direct candidate answer. The excerpt establishes his stated federal-local coordination approach, not a complete affordability platform.",,,2026-06-04,Theo Bruce Chino-Tavarez,Democratic,exact_case_insensitive_match,,,nyc-2026-cd13-dem,official_returns,democratic_primary,past_scheduled_date,verified_publication_date,,,,,,,,,,,,,,,,,,,,,,,,
ex-mo01-bush-israel-aid-1,Cori Bush,race-6233a2b380836f3b2218,2026-08-04,foreign_policy,"As stated by Human Rights Watch and Amnesty International, a genocide is happening in Gaza",https://www.stlpr.org/show/st-louis-on-the-air/2026-07-24/missouri-wesley-bell-cori-bush-radio-appearance,2026-07-24,paragraph 271,a5cafdfc151432cee7830403e17859098f7e7c4182c59efe7bacca535a58ada7,false,assistant_source_review_not_independent_human_gold,campaign_frame,Full surrounding interview paragraphs were read. Bush's selected quotation characterizes events; Bell's selected quotation expresses an alliance-oriented political frame. Neither selected fragment establishes the specific opposing weapons-transfer votes that an earlier interpretation had inferred. They remain standalone and are not paired as an arms-policy disagreement.,mo01-stlpr-bush-bell-20260724,endorsed_candidate,gaza_characterization,characterizes_as_genocide,"As stated by Human Rights Watch and Amnesty International, a genocide is happening in Gaza","Article section on Israel military aid; Bush second direct quotation, first sentence",Direct Bush quotation characterizing events in Gaza. It is not coded as a vote position or opposition to a specific weapons transfer.,Cori Bush,Assistant source review; Direct Bush quotation characterizing events in Gaza. It is not coded as a vote position or opposition to a specific weapons transfer.,,,2026-07-24,Cori Bush,Democratic,exact_case_insensitive_match,,,mo01-identity-sos-20260606,official_qualifying_roster,democratic_primary,past_scheduled_date,verified_publication_date,,,,,,,,,,,,,,,,,,,,,,,,
ex-mo01-bell-alliance-1,Wesley Bell,race-6233a2b380836f3b2218,2026-08-04,foreign_policy,we're still going to stand with our allies,https://www.stlpr.org/show/st-louis-on-the-air/2026-07-24/missouri-wesley-bell-cori-bush-radio-appearance,2026-07-24,paragraph 273,a5cafdfc151432cee7830403e17859098f7e7c4182c59efe7bacca535a58ada7,false,assistant_source_review_not_independent_human_gold,campaign_frame,Full surrounding interview paragraphs were read. Bush's selected quotation characterizes events; Bell's selected quotation expresses an alliance-oriented political frame. Neither selected fragment establishes the specific opposing weapons-transfer votes that an earlier interpretation had inferred. They remain standalone and are not paired as an arms-policy disagreement.,mo01-stlpr-bush-bell-20260724,opponent_candidate,alliance_commitment,support_alliance_commitment,we're still going to stand with our allies,Article section on Israel military aid; Bell first quoted sentence after Netanyahu clause,Direct Bell quotation. It is not coded as support for every weapons transfer or as direct opposition to Bush’s specific weapons statement.,Wesley Bell,Assistant source review; Direct Bell quotation. It is not coded as support for every weapons transfer or as direct opposition to Bush’s specific weapons statement.,,,2026-07-24,Wesley Bell,Democratic,exact_case_insensitive_match,,,mo01-identity-sos-20260606,official_qualifying_roster,democratic_primary,past_scheduled_date,verified_publication_date,,,,,,,,,,,,,,,,,,,,,,,,
exc-hist-a-01-001,Andrew Edwards,me-house-39-dem-primary-2016,2016-06-14,healthcare,"They want help, they’re begging for help, but they can’t get it",https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,2016-05-30,paragraph 145,678b3b64253208f8f06956a1b91776bb646233dd83beba00ac35ef7a9f10ab13,false,assistant_source_review_not_independent_human_gold,campaign_frame,,53cb0c94e7aeafab95d03af7,opponent_candidate,mental_health_access,support_expanded_access,"They want help, they’re begging for help, but they can’t get it",paragraph 145,Direct quotation describing clients unable to obtain mental-health or substance-use help; the mechanism is not quoted.,Andrew Edwards,Assistant source review; Direct quotation describing clients unable to obtain mental-health or substance-use help; the mechanism is not quoted.,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,2016-06-07,2016-05-30,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_publication_date,,src-hist-a-01-53cb0c94e7aeafab95d03af7,53cb0c94e7aeafab95d03af7,Direct quotation describing clients unable to obtain mental-health or substance-use help; the mechanism is not quoted.,canonical_registry_and_cached_source_association_only,used,candidate_profile,,,,,,paragraph 145,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.maine.gov/sos/cec/elec/results/2016/June16/STREPDEM.xlsx,manual_verified,manual_verified,,,,,,,
exc-hist-a-01-002,Mike Sylvester,me-house-39-dem-primary-2016,2016-06-14,governance,government has a moral imperative to help the people that it governs,https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,2016-05-30,paragraph 160,678b3b64253208f8f06956a1b91776bb646233dd83beba00ac35ef7a9f10ab13,false,assistant_source_review_not_independent_human_gold,campaign_frame,,ef6edfaca5fa415eb5e98d77,endorsed_candidate,public_responsibility,support,government has a moral imperative to help the people that it governs,paragraph 160,"Direct quotation states a governing principle; surrounding reporter text, not this quote, lists his specific proposals.",Mike Sylvester,"Assistant source review; Direct quotation states a governing principle; surrounding reporter text, not this quote, lists his specific proposals.",https://web.archive.org/web/20160607163830/http://www.pressherald.com/2016/05/30/hd-39-newcomers-seek-house-nomination/,2016-06-07,2016-05-30,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_publication_date,,src-hist-a-01-ef6edfaca5fa415eb5e98d77,ef6edfaca5fa415eb5e98d77,"Direct quotation states a governing principle; surrounding reporter text, not this quote, lists his specific proposals.",canonical_registry_and_cached_source_association_only,used,candidate_profile,,,,,,paragraph 160,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.maine.gov/sos/cec/elec/results/2016/June16/STREPDEM.xlsx,manual_verified,manual_verified,,,,,,,
exc-hist-a-02-004,Silky Malik,race-0737ecc067d5cc0799e8,2018-03-06,healthcare,universal healthcare sounds feasible,https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,2017-12-06,paragraph 27,d1588065b5a90ecfe603125cc23e2ba4893b1d122d39820c7c24fdd4821c27cd,false,assistant_source_review_not_independent_human_gold,campaign_frame,,90620cb506ce6755c1ce2d88,opponent_candidate,universal_healthcare,describes_growing_feasibility,universal healthcare sounds feasible,paragraph 27,"Direct answer in a dated interview. This wording describes perceived feasibility, not an unambiguous commitment; the answer also emphasizes preserving the ACA during any transition.",Silky Malik,"Assistant source review; Direct answer in a dated interview. This wording describes perceived feasibility, not an unambiguous commitment; the answer also emphasizes preserving the ACA during any transition.",https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,2018-01-18,2017-12-06,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_publication_date,,src-hist-a-02-90620cb506ce6755c1ce2d88,90620cb506ce6755c1ce2d88,"Direct answer in a dated interview. This wording describes perceived feasibility, not an unambiguous commitment; the answer also emphasizes preserving the ACA during any transition.",canonical_registry_and_cached_source_association_only,used,candidate_interview,,,,,,paragraph 27,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.sos.state.tx.us/elections/forms/enrrpts/2018-dem-primary.pdf,processed_verified,processed_verified,,,,,,,
exc-hist-a-02-005,Todd Litton,race-0737ecc067d5cc0799e8,2018-03-06,family_policy,"affordable, quality care for all of our children",https://web.archive.org/web/20180118144058id_/https://toddlitton.com/,,paragraph 24,5f13ea163d50617cebd6e135150cd3465ec2d72add3457a4914d32ad4b95ed99,false,assistant_source_review_not_independent_human_gold,campaign_frame,,3e56224c19e7b0832f4bfe65,opponent_candidate,childcare_access,prioritize,"affordable, quality care for all of our children",paragraph 24,Candidate-controlled biography describes the campaign's early-childhood and afterschool focus; it is not a legislative promise.,Todd Litton,Assistant source review; Candidate-controlled biography describes the campaign's early-childhood and afterschool focus; it is not a legislative promise.,https://web.archive.org/web/20180118144058id_/https://toddlitton.com/,2018-01-18,2018-01-18,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,src-hist-a-02-3e56224c19e7b0832f4bfe65,3e56224c19e7b0832f4bfe65,Candidate-controlled biography describes the campaign's early-childhood and afterschool focus; it is not a legislative promise.,canonical_registry_and_cached_source_association_only,used,archived_campaign_page,2018-01-18,,,,,paragraph 24,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.sos.state.tx.us/elections/forms/enrrpts/2018-dem-primary.pdf,processed_verified,processed_verified,,,,,,,
exc-hist-a-03-006,Betsy Monroe,race-e4f88f1286d62b12a1ab,2018-05-15,climate_environment,In a perfect world we wouldn't have fracking,https://www.pghcitypaper.com/PolitiCrap/archives/2018/02/02/betsy-monroe-inspired-by-the-womens-march-is-challenging-state-rep-hal-english-in-pittsburghs-north-hills,,paragraph 93,7deff3309ac697453e59b5e2af45b9a26a4dfb5edfe3cd3fb840e6dd9c18ab7d,false,assistant_source_review_not_independent_human_gold,campaign_frame,,e2e60a6820c30cf8e254e710,opponent_candidate,fracking_restrictions,expresses_no_fracking_ideal,In a perfect world we wouldn't have fracking,paragraph 93,"Direct quotation states an ideal, not a demonstrated commitment to a ban or phaseout; the remainder discusses using current extraction revenue for education and renewables.",Betsy Monroe,"Assistant source review; Direct quotation states an ideal, not a demonstrated commitment to a ban or phaseout; the remainder discusses using current extraction revenue for education and renewables.",https://web.archive.org/web/20180202214934id_/https://www.pghcitypaper.com/PolitiCrap/archives/2018/02/02/betsy-monroe-inspired-by-the-womens-march-is-challenging-state-rep-hal-english-in-pittsburghs-north-hills,2018-02-02,2018-02-02,,,canonical_registry_and_cached_source_association,,,,,democratic_primary,past_scheduled_date,verified_archive_capture,,src-hist-a-03-e2e60a6820c30cf8e254e710,e2e60a6820c30cf8e254e710,"Direct quotation states an ideal, not a demonstrated commitment to a ban or phaseout; the remainder discusses using current extraction revenue for education and renewables.",canonical_registry_and_cached_source_association_only,used,candidate_interview,,,,,,paragraph 93,Canonical registry role and retained candidate-source association; not a new independent ballot certification.,https://www.electionreturns.pa.gov/api/ElectionReturn/GetOfficeData?officeId=13&methodName=GetOfficeDetails&electionid=63&electiontype=P&isactive=0,resolution_verified,corpus_candidate_set,,,,,,,
