comparison_id,race_id,election_date,topic,relationship,analysis,review_method,timing_status,candidate_name,candidate_excerpt_id,candidate_quote,candidate_source_url,candidate_publication_date,candidate_locators,candidate_source_sha256,candidate_timing_status,opponent_name,opponent_excerpt_id,opponent_quote,opponent_source_url,opponent_publication_date,opponent_locators,opponent_source_sha256,opponent_timing_status,representation_kind,comparison_scope,election_timing,candidate_source_speaker_name,candidate_archive_url,candidate_capture_date,candidate_reviewed_locator,candidate_ballot_name,candidate_ballot_party,candidate_identity_resolution,candidate_identity_evidence_ids,candidate_identity_review_notes,opponent_source_speaker_name,opponent_archive_url,opponent_capture_date,opponent_reviewed_locator,opponent_ballot_name,opponent_ballot_party,opponent_identity_resolution,opponent_identity_evidence_ids,opponent_identity_review_notes,identity_resolution,identity_caveat,candidate_publication_month,candidate_source_type,opponent_publication_month,opponent_source_type
co01-ice-alignment-james-2026,race-92d9ab18d64e4a42b737,2026-06-30,immigration,shared_position,"Kiros and James both explicitly call for abolishing ICE. This is agreement on the agency, not proof that their broader immigration plans are identical.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Melat Kiros,kiros-ice-2026-001,abolish ICE,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 109,8b007dd95d0e3ae4297e6b22cf96cf028f4211aa0b8940f78f546d7436e84179,verified_publication_date,Wanda James,james-ice-2026-001,ICE should be abolished.,https://www.cpr.org/2026/05/18/cd-1-race-wanda-james-democrat-interview/,2026-05-18,paragraph 126,1273854797b6af9a515b70b638ee7e31acd4941b60cc8b670a992aada979fcf3,verified_publication_date,policy_position,,,,,,,,,,,,,,,,,,,,,,,,,,
co01-healthcare-alignment-2026,race-92d9ab18d64e4a42b737,2026-06-30,healthcare,shared_position,"Both explicitly support single-payer healthcare. This evidence does not establish identical implementation details, but it contradicts a presumed Medicare-for-All-versus-ACA split.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Melat Kiros,kiros-health-2026-001,Medicare for All delivers us that universal healthcare coverage,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 105,8b007dd95d0e3ae4297e6b22cf96cf028f4211aa0b8940f78f546d7436e84179,verified_publication_date,Diana DeGette,degette-health-2026-001,moving towards a single payer system,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 81,e9efac96c62b91d1698dd280ecb11c70028a3a56819f4c953bfbefea5f15241a,verified_publication_date,policy_position,,,,,,,,,,,,,,,,,,,,,,,,,,
co01-israel-arms-scope-2026,race-92d9ab18d64e4a42b737,2026-06-30,foreign_policy,different_scope,"Kiros calls for a full arms embargo. DeGette opposes offensive weapons transfers while discussing defensive weapons favorably. This is a difference in the scope of restrictions, not evidence that either favors unrestricted weapons transfers.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Melat Kiros,kiros-arms-2026-001,we need a full arms embargo,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 122,8b007dd95d0e3ae4297e6b22cf96cf028f4211aa0b8940f78f546d7436e84179,verified_publication_date,Diana DeGette,degette-arms-2026-001,we should not be giving offensive weapons to Israel,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 110,e9efac96c62b91d1698dd280ecb11c70028a3a56819f4c953bfbefea5f15241a,verified_publication_date,policy_position,,,,,,,,,,,,,,,,,,,,,,,,,,
co01-healthcare-passage-strategy-2026,race-92d9ab18d64e4a42b737,2026-06-30,political_strategy,different_strategy,"For achieving healthcare reform, Kiros emphasizes electing a coalition refusing corporate PAC money; DeGette emphasizes committee leadership if Democrats regain the majority. This compares their stated strategies, not the truth of campaign-finance allegations.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Melat Kiros,kiros-strategy-2026-001,electing people who refuse corporate PAC money,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 84,8b007dd95d0e3ae4297e6b22cf96cf028f4211aa0b8940f78f546d7436e84179,verified_publication_date,Diana DeGette,degette-strategy-2026-001,I will have a gavel. I will have subpoena power.,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 113,e9efac96c62b91d1698dd280ecb11c70028a3a56819f4c953bfbefea5f15241a,verified_publication_date,campaign_frame,,,,,,,,,,,,,,,,,,,,,,,,,,
cmp-ny7-labor,race-d2aabb75a31f1e810737,2026-06-23,labor,shared_position,"Both excerpts support stronger unions and worker power. Valdez specifies the PRO Act, federal organizing support, and ending at-will employment; Reynoso emphasizes union empowerment and living wages. This comparison does not imply either excerpt is an exhaustive labor platform.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Claire Valdez,ex-ny7-claire-labor-1,"Strengthen and pass the PRO Act, establish active federal support for union organizing, and end “at will” employment",https://clairevaldezforcongress.com/issues,,paragraph 14,c0efaf4fcf38d55cae4842b1df4e46851bbe850b0296e49790385279a0357a8d,verified_archive_capture,Antonio Reynoso,ex-ny7-reynoso-labor-1,"a worker-first economy that empowers unions, promotes living wages, and allows Americans to lead balanced, dignified lives",https://politicsny.com/2026/05/22/campaign-insiders-a-qa-with-ny-7-candidate-antonio-reynoso/,2026-05-22,paragraph 135,ec8efd260710ef38aa16524140ff93c94c76b7923ac17f7c4ba7e5f83bc497bc,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Claire Valdez,https://web.archive.org/web/20260613064424id_/https://clairevaldezforcongress.com/issues,2026-06-13,"Unions for All > In Congress, Claire will fight to, first bullet",Claire Valdez,Democratic,exact_case_insensitive_match,,,Antonio Reynoso,,,"Question: top issue facing voters; Reynoso answer, final sentence",Antonio Reynoso,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-ny13-immigration,race-64bde8b146c8826d40ce,2026-06-23,immigration,shared_position,Avila Chevalier and Espaillat each support abolishing or dismantling ICE. Avila Chevalier’s citizenship-pathway excerpt remains separate and is not used to imply a difference or omission.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Darializa Avila Chevalier,ex-ny13-darializa-immigration-1,abolish ICE once and for all,https://nyc.streetsblog.org/2026/06/16/lucky-13-darializa-avila-chevalier-answers-questions-that-rep-adriano-espaillat-wont,2026-06-16,paragraph 30,061425eeb8e813541637d3325d84dd00b0d35c64a1a8ab2c53055d5e0c97215d,verified_publication_date,Adriano Espaillat,ex-ny13-espaillat-immigration-1,"fought to dismantle ICE, keep families together, defend due process",https://www.adrianoespaillat.com/issues,,paragraph 16,2d9a8911239eb2fba721ef450e0239b6e68fb48998cf9f9bb9a06c0d043c1bf5,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,Darializa Avila Chevalier,,,"First questionnaire answer, second paragraph",Darializa Avila Chevalier,Democratic,exact_case_insensitive_match,,,Adriano Espaillat,https://web.archive.org/web/20260616175954id_/https://www.adrianoespaillat.com/issues,2026-06-16,"Immigration issue section, second sentence",Adriano Espaillat,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-ny14-immigration,race-4d9e32ed7f0d618a96ce,2026-06-23,immigration,different_emphasis,"Ocasio-Cortez emphasizes legal membership for undocumented residents and abolishing ICE. Dolan emphasizes prioritizing federal resources for Americans and says resources have been diverted to people from other countries. The retained excerpt does not establish that Dolan explicitly rejects legalization or ICE abolition, so no direct support-versus-opposition relationship is inferred.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Alexandria Ocasio-Cortez,ex-ny14-aoc-immigration-1,make undocumented individuals full members of the country they call their home and abolish ICE,https://www.ocasiocortez.com/issues,,paragraph 28,e9187e6989b6af0f7bcd40f0bbc609b79b2248eee8ede3a1d628324c03454a9d,verified_archive_capture,Marty Dolan,ex-ny14-dolan-immigration-1,It’s clear that our resources and energy have been diverted on helping grown people or adults or kids from other countries,https://www.bxtimes.com/marty-dolan-campaigns-for-second-time-to-challenge-aoc/,2026-04-14,paragraph 164,a9bebd82a80dde16779c746e1707aed68b598d3f88233e27bb22e07b54288376,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Alexandria Ocasio-Cortez,https://web.archive.org/web/20260615095034id_/https://www.ocasiocortez.com/issues,2026-06-15,Honor in Immigration issue summary,Alexandria Ocasio-Cortez,Democratic,exact_case_insensitive_match,,,Marty Dolan,,,"Policies, not protests section; second direct quotation in paragraph beginning Towards immigrants",Marty Dolan,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-mi12-abortion-access,race-0238993b2ccb424dc347,2026-08-04,civil_rights,shared_position,Both excerpts support access to abortion care and personal reproductive choice. Tlaib's campaign states the policy as abortion access; Nolen frames it as bodily autonomy. This comparison does not impute positions on other reproductive-health mechanisms.,assistant_source_review_not_independent_human_gold,pre_primary_verified,Rashida Tlaib,ex-mi12-tlaib-abortion,right to access abortion care,https://rashidaforcongress.com/issues/lgbtq-and-gender-justice/,,paragraph 31,92d62c5ab33238dc090bd7642dc06b77aba25f65680a75f8b45dfd9bda1fd0de,verified_archive_capture,Byron H. Nolen,ex-mi12-nolen-abortion,"Your body, your choice, you do what you need to do",https://wdet.org/2026/07/28/inkster-mayor-challenges-rep-rashida-tlaib-in-democratic-primary/,2026-07-28,paragraph 51,f8db374fb22e273ee7c2cb8ac58805002096b8f18ecf686ca75eeb357547e668,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Rashida Tlaib,https://web.archive.org/web/20260803021500id_/https://rashidaforcongress.com/issues/lgbtq-and-gender-justice/,2026-08-03,"Gender Justice & LGBTQI+ Rights, introductory paragraph on reproductive justice",Rashida Tlaib,Democratic,exact_case_insensitive_match,,,Byron H. Nolen,,,Paragraph following WDET's statement that Nolen agrees on women's reproductive rights,Byron H. Nolen,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-mi12-ice-strategy,race-0238993b2ccb424dc347,2026-08-04,immigration,different_strategy,"Tlaib's campaign calls for abolishing and defunding ICE, while Jackson's campaign calls for reform, oversight, and accountability within ICE. Jackson's excerpt does not explicitly oppose abolition, so this is classified as a different institutional strategy rather than an explicit disagreement.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Rashida Tlaib,ex-mi12-tlaib-ice,advocating to abolish and defund ICE,https://rashidaforcongress.com/issues/racial-and-immigration-justice/,,paragraph 32,c5e93f040c8ca5a0e42cc69cb92d6a0d4fff673221b2533119fb74255f3ceb7f,verified_archive_capture,Shanelle Jackson,ex-mi12-jackson-ice,"ICE must be subject to serious reform, meaningful oversight, and real accountability",https://shanellejackson.com/,,paragraph 86,0373ca0f50e3401bba0afeffe01eab93ba76b467918838745fd5103ad33b567f,verified_archive_capture,policy_position,democratic_primary,past_scheduled_date,Rashida Tlaib,https://web.archive.org/web/20260803021431id_/https://rashidaforcongress.com/issues/racial-and-immigration-justice/,2026-08-03,"Racial and Immigration Justice, second introductory paragraph",Rashida Tlaib,Democratic,exact_case_insensitive_match,,,Shanelle Jackson,https://web.archive.org/web/20260803021851id_/https://shanellejackson.com/,2026-08-03,"Reform ICE With Humanity and Accountability section, sixth paragraph",Shanelle Jackson,Democratic,exact_case_insensitive_match,,,,,,,,
cmp-mi13-medicare-for-all,race-2d77a10e3b62e9f5ec19,2026-08-04,healthcare,shared_position,"Both candidates explicitly support Medicare for All. The short excerpts establish the shared proposition but do not imply identical benefit design, financing, or transition details.",assistant_source_review_not_independent_human_gold,pre_primary_verified,Donavan McKinney,ex-mi13-mckinney-medicare,our families cannot afford anything less than Medicare for All,https://www.donavanforcongress.com/priorities,,paragraph 45,a8feced54712bceff054b8d88508345ad0ba2010d455101bc0a24a447272ef8c,verified_archive_capture,Shri Thanedar,ex-mi13-thanedar-medicare,I am a big proponent of Medicare for All,https://wdet.org/2026/03/23/shri-thanedar-says-hes-ready-for-13th-congressional-district-primary/,2026-03-23,paragraph 49,fe7613086b327be044b8d21fceaccaec64ae70e976fbc8479e1191fe9bf4b5ef,verified_publication_date,policy_position,democratic_primary,past_scheduled_date,Donavan McKinney,https://web.archive.org/web/20260803023134id_/https://www.donavanforcongress.com/priorities,2026-08-03,"Housing and healthcare priority text, second paragraph",Donavan McKinney,Democratic,exact_case_insensitive_match,,,Shri Thanedar,,,"ST answer to health-care question, first paragraph",Shri Thanedar,Democratic,exact_case_insensitive_match,,,,,,,,
