attempt_id,attempted_on,state_code,cycle,source_url,method,outcome,raw_evidence,notes
tx24-01-state-archive,2026-09-22,TX,2024,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml,follow official archive link to results application,success_publication_link,discovery/tx-election-results-archive.html,Established results.texas-election.com as the state-linked source.
tx24-02-legacy-portal,2026-09-22,TX,2024,https://elections.sos.state.tx.us/index.htm,inspect public historical election ID list,blocked_no_2024_records,discovery/tx-legacy-election-index.html,Public list ends at 2019 and cannot supply 2024 election IDs.
tx24-03-live-vendor-json,2026-09-22,TX,2024,https://results.texas-election.com/races,request public application and known static JSON,blocked_403_and_broken_democratic_totals,tx/2024/election-49665-Federal.json,Cloudflare blocks scripted page access; live Democratic JSON is all zero.
tx24-04-archived-canvass-reports,2026-09-22,TX,2024,https://results.texas-election.com/static/data/Reports/49665/OfficialCanvassReport.pdf,recover archived official vendor canvass PDFs and JSON IDs,success_complete_primary_and_runoff,tx/2024/tx-2024-dem-primary-official-canvass.pdf,Recovered both parties' primary and runoff official reports.
tx26-01-state-archive,2026-09-22,TX,2026,https://www.sos.texas.gov/elections/historical/elections-results-archive.shtml,follow official archive link to current Civix application,success_publication_link,discovery/tx-election-results-archive.html,Established goelection Civix service as the current linked source.
tx26-02-public-constants-api,2026-09-22,TX,2026,https://goelect.txelections.civixapps.com/api-ivis-system/api/s3/enr/electionConstants,call public application constants endpoint,success_election_ids_and_official_flags,tx/2026/electionConstants.json,Recovered party-specific primary and runoff IDs with O=Y.
tx26-03-public-election-api,2026-09-22,TX,2026,https://goelect.txelections.civixapps.com/api-ivis-system/api/s3/enr/election/53813,call four public election payload endpoints,success_complete_primary_and_runoff,tx/2026/election-53813.json,All 254 counties reported; federal summaries include candidate IDs.
pa24-01-public-returns-app,2026-09-22,PA,2024,https://www.electionreturns.pa.gov/,inspect public election returns application,blocked_incapsula,,No administrative or authenticated endpoint was attempted.
pa24-02-bulk-data,2026-09-22,PA,2024,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/electionreturns_2024_primary_precinctreturns.txt,download official precinct return extract and schema,success_complete_primary,pa/2024/electionreturns_2024_primary_precinctreturns.txt,All 67 counties and all 17 House districts plus Senate recovered.
pa24-03-certification,2026-09-22,PA,2024,https://www.pa.gov/agencies/dos/newsroom/secretary-of-the-commonwealth-certifies-2024-primary-election-re,capture official post-audit certification notice,success_certified,pa/2024/pa-2024-primary-certification.html,Congressional races are not the cited state-house litigation exception.
pa26-01-bulk-data,2026-09-22,PA,2026,https://www.pa.gov/content/dam/copapwp-pagov/en/dos/resources/voting-and-elections/bulk-data/2026-general-primary/er/electionreturns_2026_primary_precinctreturns.txt,download official precinct return extract and schema,success_complete_primary,pa/2026/electionreturns_2026_primary_precinctreturns.txt,All 67 counties and all 17 House districts recovered; no Senate race.
pa26-02-certification,2026-09-22,PA,2026,https://www.pa.gov/agencies/dos/newsroom/secretary-of-the-commonwealth-certifies-2026-primary-election-re,capture official post-audit certification notice,success_certified,pa/2026/pa-2026-primary-certification.html,"Secretary certified results on June 17, 2026."
