comparison_id,race_id,election_date,topic,relationship,analysis,review_method,timing_status,candidate_name,candidate_excerpt_id,candidate_quote,candidate_source_url,candidate_publication_date,candidate_locators,candidate_source_sha256,candidate_timing_status,opponent_name,opponent_excerpt_id,opponent_quote,opponent_source_url,opponent_publication_date,opponent_locators,opponent_source_sha256,opponent_timing_status,representation_kind,comparison_scope,election_timing,candidate_source_speaker_name,candidate_archive_url,candidate_capture_date,candidate_reviewed_locator,candidate_ballot_name,candidate_ballot_party,candidate_identity_resolution,candidate_identity_evidence_ids,candidate_identity_review_notes,opponent_source_speaker_name,opponent_archive_url,opponent_capture_date,opponent_reviewed_locator,opponent_ballot_name,opponent_ballot_party,opponent_identity_resolution,opponent_identity_evidence_ids,opponent_identity_review_notes,identity_resolution,identity_caveat,candidate_publication_month,candidate_source_type,opponent_publication_month,opponent_source_type,timing_caveat
cmp-ny13-immigration-romero,race-64bde8b146c8826d40ce,2026-06-23,immigration,shared_position,Avila Chevalier and Romero each explicitly support abolishing ICE. This pair is timing-unverified because the NYC Votes publication time and pre-primary text version are unverified.,assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Darializa Avila Chevalier,ex-ny13-darializa-immigration-1,abolish ICE once and for all,https://nyc.streetsblog.org/2026/06/16/lucky-13-darializa-avila-chevalier-answers-questions-that-rep-adriano-espaillat-wont,2026-06-16,paragraph 30,061425eeb8e813541637d3325d84dd00b0d35c64a1a8ab2c53055d5e0c97215d,verified_publication_date,Oscar J. Romero Jr.,ex-ny13-oscar-immigration-1,"I’m running for Congress to abolish ICE, protect civil rights, and end US forever wars",https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Oscar+J+Romero+Jr&candidateId=V1749&electionCycle=2026&geoAreaAbbr=13&partyId=D,,paragraph 10,3eceaeae99070913b21e7d8be69612cc75bd0df0baf6c4985d224ffb6309372b,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Darializa Avila Chevalier,,,"First questionnaire answer, second paragraph",Darializa Avila Chevalier,Democratic,exact_case_insensitive_match,,,Oscar J. Romero Jr.,,,Candidate profile introductory statement,Oscar J. Romero Jr.,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-ny7-abolish-ice,race-d2aabb75a31f1e810737,2026-06-23,immigration,shared_position,Valdez and Won each explicitly support abolishing ICE. This pair is timing-unverified because the NYC Votes publication time and pre-primary text version are unverified.,assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Claire Valdez,ex-ny7-claire-immigration-1,dismantle and abolish ICE,https://clairevaldezforcongress.com/issues,,paragraph 29,c0efaf4fcf38d55cae4842b1df4e46851bbe850b0296e49790385279a0357a8d,verified_archive_capture,Julie Won,ex-ny7-julie-immigration-1,"In Congress I will abolish ICE, end family separation, and protect families like ours",https://bengali.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Julie+Won&candidateId=V1722&electionCycle=2026&geoAreaAbbr=07&partyId=D,,paragraph 25,4d9decd022591529b146eb1e07459f5fe2c2f7c18cbd7b448a4d33c965220ac3,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Claire Valdez,https://web.archive.org/web/20260613064424id_/https://clairevaldezforcongress.com/issues,2026-06-13,"Abolish ICE and Protect Immigrants, first platform paragraph",Claire Valdez,Democratic,exact_case_insensitive_match,,,Julie Won,,,Candidate profile > Issues > Immigration,Julie Won,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-ny7-abolish-ice-kumar,race-d2aabb75a31f1e810737,2026-06-23,immigration,shared_position,Valdez and Kumar each support abolishing or dismantling ICE. This pair is timing-unverified because the NYC Votes publication time and pre-primary text version are unverified.,assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Claire Valdez,ex-ny7-claire-immigration-1,dismantle and abolish ICE,https://clairevaldezforcongress.com/issues,,paragraph 29,c0efaf4fcf38d55cae4842b1df4e46851bbe850b0296e49790385279a0357a8d,verified_archive_capture,Vichal Kumar,ex-ny7-vichal-immigration-1,ICE terrorizes our communities and must be dismantled,https://arabic.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Vichal+Kumar&candidateId=V1646&electionCycle=2026&geoAreaAbbr=07&partyId=D,,paragraph 25,c7738f11e04275e6ba8101b98f433a3ac6db27ef458e471201555faf88c8143f,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Claire Valdez,https://web.archive.org/web/20260613064424id_/https://clairevaldezforcongress.com/issues,2026-06-13,"Abolish ICE and Protect Immigrants, first platform paragraph",Claire Valdez,Democratic,exact_case_insensitive_match,,,Vichal Kumar,,,"Candidate profile > Issues > Immigration, first sentence",Vichal Kumar,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-ny14-housing-strategy,race-4d9e32ed7f0d618a96ce,2026-06-23,housing,different_strategy,"Both excerpts support expanding affordable housing supply through different strategies. Ocasio-Cortez specifies Faircloth Amendment repeal; Garcia emphasizes mixed-income investment, zoning streamlining, and tenant protections. This pair is timing-unverified because the NYC Votes publication time and pre-primary text version are unverified.",assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Alexandria Ocasio-Cortez,ex-ny14-aoc-housing-1,permanent repeal of the Faircloth Amendment,https://www.ocasiocortez.com/issues,,paragraph 66,e9187e6989b6af0f7bcd40f0bbc609b79b2248eee8ede3a1d628324c03454a9d,verified_archive_capture,Felipe Garcia,ex-ny14-felipe-housing-1,"increasing investment in mixed-income housing, streamlining zoning, and protecting tenants",https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Felipe+Garcia&candidateId=V1752&electionCycle=2026&geoAreaAbbr=14&partyId=D,,paragraph 19,45cef46a09a64bc36047eb04051cf49a96799199d93a0f91ab16ca82b84c17f4,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Alexandria Ocasio-Cortez,https://web.archive.org/web/20260615095034id_/https://www.ocasiocortez.com/issues,2026-06-15,"Housing As a Human Right > Build New Affordable Housing, first paragraph",Alexandria Ocasio-Cortez,Democratic,exact_case_insensitive_match,,,Felipe Garcia,,,"Candidate profile > Issues > Affordable Housing, first sentence",Felipe Garcia,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-il08-healthcare-right,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,shared_position,"Both candidates explicitly characterize health care as a right. Ahmed's surrounding answer supports Medicare for All; Morrison's questionnaire focuses on Medicaid and HIV-service protections. Morrison's source timing is unverified, so this comparison preserves the statement but is not independently established as pre-primary evidence.",assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Junaid Ahmed,ex-il08-junaid-healthcare,Healthcare is a human right and every American deserves access to quality healthcare.,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,paragraph 131,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,verified_archive_capture,Kevin B. Morrison,ex-il08-morrison-healthcare,Health care is a human right.,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,,paragraph 1,c0452e4876a4af58e01cd1a014fd534b2feeb131ff176204704644bfa7511b8e,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Junaid Ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,2026-03-16,"Answer to rising health-care costs question, final sentence",Junaid Ahmed,Democratic,exact_case_insensitive_match,,,Kevin B. Morrison,,,"Question 1, Medicaid Cuts Under H.R. 1, opening answer",Kevin B. Morrison,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-il08-ahmed-tully-public-insurance,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,shared_position,"Ahmed calls for Medicare for All; Tully proposes consolidating coverage into one public payor with optional private supplements. Both support a public-payer model, without establishing identical eligibility, benefits or financing. Tully's pre-primary source version is unverified.",assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Junaid Ahmed,ex-il08-junaid-single-payer,We must pass Medicare for All,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,paragraph 131,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,verified_archive_capture,Dan Tully,ex-il08-tully-public-payor,one responsible public payor,https://news.wttw.com/elections/voters-guide/2026-primary/dan-tully,,paragraph 99,902af9c68780c7fea0a08d2ded21e0b04324c8ce91b50811584436a7a7a9b281,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Junaid Ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,2026-03-16,"paragraph 131, opening sentence of the healthcare answer",Junaid Ahmed,Democratic,exact_case_insensitive_match,,,Dan Tully,,,"paragraph 99, healthcare answer",Dan Tully,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-il08-ahmed-dunung-healthcare,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,different_strategy,"Ahmed specifies Medicare for All; Dunung emphasizes expanding ACA subsidies and protecting existing coverage. These are different stated approaches, not proof that Dunung opposes Medicare for All. Her exact pre-primary version is unverified.",assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Junaid Ahmed,ex-il08-junaid-single-payer,We must pass Medicare for All,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,paragraph 131,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,verified_archive_capture,Sanjyot Dunung,ex-il08-dunung-aca-subsidies,expanding Affordable Care Act subsidies,https://news.wttw.com/elections/voters-guide/2026-primary/sanjyot-dunung,,paragraph 118,42533f41ed9a98dee359ddafe60648268226f9212dd88b2d84eb1d83bd9d167f,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Junaid Ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,2026-03-16,"paragraph 131, opening sentence of the healthcare answer",Junaid Ahmed,Democratic,exact_case_insensitive_match,,,Sanjyot Dunung,,,"paragraph 118, healthcare answer",Sanjyot Dunung,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-il08-ahmed-bankole-healthcare-right,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,shared_position,Both explicitly describe healthcare as a human right. That shared principle does not establish the same insurance design; Bankole's pre-primary answer version is unverified.,assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Junaid Ahmed,ex-il08-junaid-healthcare,Healthcare is a human right and every American deserves access to quality healthcare.,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,paragraph 131,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,verified_archive_capture,Yasmeen Bankole,ex-il08-bankole-healthcare-right,"Healthcare is a human right, not a privilege.",https://news.wttw.com/elections/voters-guide/2026-primary/yasmeen-bankole,,paragraph 98,e4d457a0d939106a81b420487e3adc2be694caa4587135a114965a98a0bd6cbd,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Junaid Ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,2026-03-16,"Answer to rising health-care costs question, final sentence",Junaid Ahmed,Democratic,exact_case_insensitive_match,,,Yasmeen Bankole,,,"paragraph 98, opening sentence of the healthcare answer",Yasmeen Bankole,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-il08-ahmed-bean-healthcare,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,different_strategy,"Ahmed calls for Medicare for All while Bean's captured platform emphasizes strengthening the ACA and its subsidies. The excerpts identify priorities, not an explicit vote against the other approach. Bean's pre-primary version is unverified.",assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Junaid Ahmed,ex-il08-junaid-single-payer,We must pass Medicare for All,https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,,paragraph 131,6fb90d80774b12a2ac633021666394201f3e6adc8f70e82a064a44a0b8311c43,verified_archive_capture,Melissa L. Bean,ex-il08-bean-aca,Protect and strengthen the Affordable Care Act,https://www.melissabeanforcongress.com/issues,,paragraph 50,28ab85eaf2602287ff5ad39ca393e7ff5159f12a17bfd5abe70e06f91ed7fa49,pre_primary_time_unverified,policy_position,democratic_primary,past_scheduled_date,Junaid Ahmed,https://web.archive.org/web/20260316182458id_/https://news.wttw.com/elections/voters-guide/2026-primary/junaid-ahmed,2026-03-16,"paragraph 131, opening sentence of the healthcare answer",Junaid Ahmed,Democratic,exact_case_insensitive_match,,,Melissa L. Bean,,,"paragraph 50, first bullet following Melissa Bean will in Healthcare",Melissa L. Bean,Democratic,exact_case_insensitive_match,,,,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
cmp-ca26-chris-liam-single-payer,race-76c7cbb9d6b99bc5d802,2026-06-02,healthcare,shared_position,"Espinosa and Hernandez each explicitly support Medicare for All or a Medicare-for-All-style universal system. The comparison is timing-unverified because Espinosa's retained archive is dated June 3, one day after the shared-ballot primary.",assistant_source_review_not_independent_human_gold,pre_primary_time_unverified,Chris Espinosa,ex-ca26-chris-single-payer,I support universal coverage through a Medicare for All–style system,https://www.espinosaforcongress.com/issues,,paragraph 31,d131e0671fd0bd2b60bdc5d1c46ae0dcb0719ce0de224f3a535158374a56e707,pre_primary_time_unverified,Liam Andres O’Neill Hernandez,ex-ca26-liam-single-payer,fighting for Medicare for All,https://www.aol.com/articles/meet-9-candidates-26th-congressional-123026000.html,2026-05-10,paragraph 75 | paragraph 77,d151119ab3de305dfd2484fd44ab3aef5470ab615328bc3d02651302a81f5f6d,verified_publication_date,policy_position,nonpartisan_ballot_endorsed_vs_democrats,past_scheduled_date,Chris Espinosa,https://web.archive.org/web/20260603205553id_/https://www.espinosaforcongress.com/issues,2026-06-03,"Healthcare for All section, opening platform sentence",Chris Espinosa,Democratic,exact_case_insensitive_match,,,Liam Andres O'Neill Hernandez,,,"Liam Andres O'Neill Hernandez section, answer to top-priority question, second paragraph",Liam Andres O'Neill Hernandez,Democratic,accepted_direct_official_alias,ca-identity-certified-candidates-20260326 | ca26-liam-vcstar-aol-20260510,"Punctuation-only alias: the registry lead uses a typographic apostrophe, while the official certified list, official result row, and dated candidate questionnaire use the straight-apostrophe ballot name. Reviewed excerpts keep the questionnaire/ballot speaker string and are not silently renamed.",,,,,,,At least one authentic campaign statement or election-guide answer was retrieved after the primary without a verified publication date or pre-primary capture. This comparison does not establish the exact text available to voters before the election.
