race_id,question_id,question,topic,endorsed_candidate,other_democrat,endorsed_option,other_option,code_relationship,endorsed_explanation,other_explanation,caveats,interpretation_limit
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Adrienne E. Adams,Bring back year-round outdoor dining as it existed during the pandemic,Consult with restaurant owners and propose a new permit program tailored to their needs,different_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,“Outdoor dining rescued countless restaurants during COVID and needs to endure.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Michael Blake,Bring back year-round outdoor dining as it existed during the pandemic,Consult with restaurant owners and propose a new permit program tailored to their needs,different_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,"“We absolutely need year-round outdoor dining,” but “cumbersome” new rules should be “re-evaluated.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Andrew M. Cuomo,Bring back year-round outdoor dining as it existed during the pandemic,Consult with restaurant owners and propose a new permit program tailored to their needs,different_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,"Cuomo's website says he'll streamline approvals, improve agency coordination, set timelines for permit decisions, and provide more transparency to help small businesses.",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Brad Lander,Bring back year-round outdoor dining as it existed during the pandemic,Bring back year-round outdoor dining as it existed during the pandemic,same_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,"“We can have a strong, year-round outdoor dining program, with less red tape for restaurants, but still with oversight to ensure cleanliness and remove abandoned sheds.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Zellnor Myrie,Bring back year-round outdoor dining as it existed during the pandemic,Bring back year-round outdoor dining as it existed during the pandemic,same_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,"“If we want outdoor dining to be successful, we need to make it easier and more accessible for restaurants to participate.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Jessica Ramos,Bring back year-round outdoor dining as it existed during the pandemic,Consult with restaurant owners and propose a new permit program tailored to their needs,different_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,“The streets are for people and not for cars.”,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Scott M. Stringer,Bring back year-round outdoor dining as it existed during the pandemic,Consult with restaurant owners and propose a new permit program tailored to their needs,different_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,"“We need to create a way for open streets and outdoor dining to work for everyone – businesses, residents, and pedestrians – permanently.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question1,What is your preferred model for outdoor dining?,Streets,Zohran Kwame Mamdani,Whitney R. Tilson,Bring back year-round outdoor dining as it existed during the pandemic,Consult with restaurant owners and propose a new permit program tailored to their needs,different_publisher_option,Mamdani says he would “eliminate the unnecessary and cumbersome design restrictions placed on restaurants.”,"Tilson supports full-time outdoor dining through “permanent, high-quality structures” while holding “restaurants accountable for maintaining their spaces clean and rodent-free.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Adrienne E. Adams,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""","“The city has consistently fallen short on its milestones [in the Streets Master Plan], including the miles of protected bus and bike lanes required to be built each year.”",,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
race-d0d830cb7a9e40e91152,question2,Which best describes your approach to bike lanes?,Streets,Zohran Kwame Mamdani,Michael Blake,Continue to expand the bike lane network and provide more protected lanes,Continue to expand the bike lane network and provide more protected lanes,same_publisher_option,"""We have an opportunity here to do immense amounts of pedestrianization for the entire congestion pricing zone.... We have an opportunity to make one-way bike lanes into two-way bike lanes.""",Blake said he'd exceed a mandate for 250 miles of protected bike lanes.,,Different codes are not automatically opposing platforms; read conditions and publisher explanations. These rows are not added to independently source-reviewed comparison counts.
